# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 16-05-2024 09:28:42
#X: 46913 - Y: 367520
#00 DONARLOCATIE: KTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1004>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  46913  367520 20240516 92912    0.95    0.97   18.34   7.94 8.99      98    4.98     516    3.10    1720    2.50    3.11
  46935  367434 20240516 92949    2.06    2.10   17.43   7.94 9.05      97    4.84     512    3.08    1708    2.45    2.95
  46939  367420 20240516 93013    2.97    2.94   17.06   7.94 9.12      97    4.79     510    3.07    1702    2.38    3.13
  46941  367414 20240516 93032    3.96    3.97   16.87   7.93 9.14      97    4.77     511    3.08    1705    2.48    3.23
  46943  367406 20240516 93055    5.04    5.02   16.85   7.92 9.07      96    4.82     516    3.11    1724    2.65    3.58
  46945  367402 20240516 93117    6.02    6.02   16.86   7.92 9.08      96    4.87     522    3.14    1743    2.73    3.52
  46945  367395 20240516 93137    6.99    7.01   16.86   7.92 9.04      96    4.95     530    3.20    1772    2.74    3.71
  46948  367387 20240516 93157    8.04    8.06   16.86   7.91 8.99      96    5.13     549    3.32    1841    2.69    4.33
  46951  367381 20240516 93215    8.96    8.98   16.86   7.90 8.85      94    5.30     568    3.44    1909    2.74    3.99
  46945  367378 20240516 93240    9.99    9.99   16.87   7.90 8.81      94    5.84     625    3.81    2114    2.36    4.22
  46947  367376 20240516 93316   10.98   10.97   16.91   7.89 8.80      94    6.66     712    4.39    2434    2.00    4.39
  46945  367374 20240516 93337   11.98   12.02   16.89   7.88 8.83      95    7.24     774    4.80    2662    1.87    4.55
