# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 27-06-2024 10:56:25
#X: 74447 - Y: 387848
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par11.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74447  387848 20240627 105633    1.00    1.00   21.75   8.49 10.3     119    1.41     136    0.76     321    3.26    1.87    0.03
  74443  387849 20240627 105653    1.99    2.00   21.81   8.49 10.3     119    1.41     136    0.76     321    3.17    1.81   -0.10
  74429  387844 20240627 105745    2.94    2.95   21.65   8.47 10.1     116    1.41     136    0.76     321    3.32    1.93   -0.25
  74450  387834 20240627 105948    4.01    4.03   21.39   8.41 9.73     111    1.40     136    0.76     322    2.35    1.93   -0.36
  74451  387830 20240627 110006    4.94    4.93   21.35   8.40 9.66     110    1.40     136    0.76     321    2.17    1.94   -0.31
  74446  387821 20240627 110101    6.00    6.01   21.22   8.36 9.26     105    1.40     136    0.76     322    1.89    1.96   -0.34
  74444  387818 20240627 110115    6.96    6.95   21.15   8.34 9.33     106    1.40     137    0.76     323    1.78    2.18   -0.48
  74441  387811 20240627 110149    8.02    8.03   21.03   8.30 9.04     102    1.40     137    0.76     324    1.69    2.55   -0.46
  74463  387817 20240627 110346    8.98    8.97   20.28   8.16 8.36      93    1.39     138    0.77     328    1.10    2.21   -0.58
  74449  387806 20240627 110508   10.03   10.02   19.60   8.06 7.80      86    1.40     141    0.79     340    0.89    2.44   -0.65
  74459  387827 20240627 110606   11.01   11.03   19.21   8.01 7.43      81    1.42     144    0.81     350    0.79    2.77   -0.69
  74454  387842 20240627 110657   11.96   11.99   18.85   7.97 7.13      77    1.46     150    0.84     368    0.81    2.76   -0.67
  74455  387841 20240627 110732   13.06   13.08   18.56   7.93 6.59      71    1.56     161    0.91     407    0.82    3.00   -0.61
  74446  387848 20240627 110831   14.06   14.06   17.61   7.81 4.70      50    2.22     234    1.34     661    0.78    3.65   -0.71
  74440  387847 20240627 110922   15.04   15.02   17.44   7.78 3.93      42    2.51     265    1.53     756    0.78    3.79   -0.74
  74426  387843 20240627 111012   16.04   16.02   17.21   7.72 2.83      30    2.93     312    1.82     916    0.75    4.21   -0.56
  74436  387839 20240627 111118   16.90   16.93   17.15   7.70 2.27      24    3.17     338    1.98    1007    1.15   21.57   -0.46
