# VERTIKAAL 19 M.C.ECOS 8 VERTIKAAL
* 27-06-2024 14:29:10
#X: 80154 - Y: 408109
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par19.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  80154  408109 20240627 142927    1.03    1.03   22.40   8.77 12.7     148    0.93      88    0.48     171    4.46    1.82   -0.17
  80164  408109 20240627 143026    2.00    2.01   21.38   8.64 11.7     134    0.91      88    0.48     170    4.30    1.85   -0.22
  80154  408125 20240627 143117    2.99    2.99   20.91   8.53 11.1     126    0.89      88    0.48     168    3.73    1.56   -0.31
  80161  408136 20240627 143148    4.06    4.09   20.77   8.49 10.7     121    0.90      89    0.49     172    3.55    1.60   -0.28
  80160  408110 20240627 143228    5.05    5.04   20.32   8.41 10.2     114    0.94      93    0.51     185    2.92    1.62   -0.44
  80170  408107 20240627 143313    5.65    5.66   20.34   8.38 9.85     110    0.92      91    0.50     179    2.95    1.44   -0.38
  80192  408121 20240627 143347    6.01    5.99   20.26   8.37 10.0     112    0.92      91    0.50     178    3.12    1.38   -0.39
  80197  408113 20240627 143442    7.05    7.05   19.44   8.19 8.98      98    1.04     105    0.58     221    1.98    1.29   -0.56
  80192  408115 20240627 143532    8.07    8.08   19.08   8.12 8.64      94    1.10     112    0.62     243    1.58    1.11   -0.62
  80185  408113 20240627 143620    8.98    8.97   18.57   8.04 8.00      86    1.22     125    0.70     285    1.25    0.93   -0.54
  80181  408111 20240627 143640   10.01   10.03   18.29   8.02 7.98      86    1.33     138    0.77     327    1.01    0.82   -0.52
  80172  408109 20240627 143727   11.04   11.07   17.95   7.98 7.63      81    1.43     149    0.84     367    0.85    0.83   -0.59
  80154  408109 20240627 143805   12.03   12.06   17.87   7.96 7.39      79    1.48     155    0.87     385    0.78    1.17   -0.71
  80153  408108 20240627 143827   13.04   13.05   17.83   7.97 7.42      79    1.51     158    0.89     398    0.75    1.07   -0.72
  80162  408106 20240627 143859   14.05   14.08   17.78   7.95 7.26      77    1.52     160    0.90     402    0.74    1.23   -0.63
  80155  408111 20240627 143921   15.04   15.06   17.78   7.94 7.22      77    1.52     160    0.90     402    0.73    1.18   -0.70
  80152  408110 20240627 143955   16.09   16.09   17.73   7.89 6.88      73    1.52     160    0.90     402    0.78    1.65   -0.64
