# VERTIKAAL 14 M.C.ECOS 8 VERTIKAAL
* 27-06-2024 11:54:21
#X: 71520 - Y: 392031
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par14.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71520  392031 20240627 115453    1.05    1.06   22.74   8.84 12.7     150    1.37     129    0.72     297    2.86    1.52   -0.02
  71499  392078 20240627 115521    2.02    2.03   22.60   8.81 12.7     148    1.36     129    0.72     297    2.81    1.43   -0.09
  71490  392044 20240627 115759    2.92    2.92   20.80   8.43 10.1     114    1.30     128    0.71     294    2.10    1.04   -0.53
  71497  392081 20240627 115845    4.04    4.05   20.84   8.36 9.75     110    1.30     127    0.71     292    1.51    1.01   -0.53
  71500  392080 20240627 115929    4.97    4.95   19.84   8.30 9.40     104    1.30     130    0.72     301    0.86    0.85   -0.66
  71506  392066 20240627 120034    6.03    6.03   19.18   8.22 8.76      96    1.28     131    0.73     303    0.93    0.80   -0.56
  71504  392061 20240627 120051    7.01    7.01   18.29   8.19 8.75      94    1.31     136    0.76     320    0.72    0.78   -0.74
  71462  392070 20240627 120141    8.09    8.10   17.14   8.10 8.08      85    1.34     142    0.80     343    0.66    0.74   -0.80
  71464  392061 20240627 120217    8.98    8.98   16.83   8.04 7.71      80    1.53     164    0.92     416    0.70    0.84   -0.72
  71468  392059 20240627 120314   10.02   10.02   16.55   7.98 7.36      76    1.61     173    0.98     449    0.67    0.81   -0.64
  71479  392062 20240627 120423   11.06   11.06   16.56   7.91 6.90      72    1.97     212    1.21     586    0.68    1.20   -0.70
  71514  392050 20240627 120444   11.98   11.99   17.07   7.94 6.98      73    2.41     257    1.49     744    0.71    1.24   -0.66
  71514  392048 20240627 120458   13.00   13.01   17.16   7.95 7.05      74    2.60     276    1.60     793    0.70    1.34   -0.66
  71503  392079 20240627 120536   14.00   14.00   16.55   7.80 6.03      63    3.03     327    1.91     968    0.74    1.67   -0.72
  71519  392054 20240627 120709   14.97   14.99   14.99   7.57 3.14      32    3.09     345    2.03    1034    0.77    1.63   -0.54
  71506  392066 20240627 120820   15.97   15.88   14.46   7.51 2.07      21    3.10     351    2.07    1052    0.72    1.50   -0.65
  71476  392087 20240627 120936   17.01   17.03   13.42   7.48 0.22       2    3.24     376    2.22    1140    0.82    0.86   -0.72
  71481  392094 20240627 120954   17.95   17.99   13.35   7.49 0.17       2    3.47     403    2.40    1237    0.79    0.93   -0.64
  71483  392094 20240627 121012   19.07   19.11   13.16   7.52 0.14       1    4.58     534    3.23    1794    0.86    0.87   -0.59
