# VTK  7 Delta
* 04-06-2025 10:14:05
#X: 77058 - Y: 406123
#00 DONARLOCATIE: ZTS-09
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  77058  406123 20250604 101417    0.94   13.48   17.75   8.42 9.72     103    1.09     115    0.64     252    0.92      1.67    9.78
  77058  406123 20250604 101427    1.02   11.22   17.75   8.43 9.73     103    1.09     114    0.63     251    1.00      1.67    9.79
  77058  406123 20250604 101445    2.03   12.43   17.74   8.42 9.73     103    1.09     114    0.63     250    1.02      1.57    9.80
  77058  406123 20250604 101502    3.07   11.43   17.74   8.43 9.73     103    1.08     114    0.63     249    1.28      1.66    9.79
  77058  406123 20250604 101535    4.02   10.58   17.74   8.43 9.71     103    1.09     114    0.63     251    0.94      1.61    9.78
  77058  406123 20250604 101616    5.01    9.58   17.80   8.44 9.63     102    1.16     122    0.68     276    0.84      1.82    9.69
  77058  406123 20250604 101633    6.06    8.44   17.77   8.43 9.68     103    1.11     117    0.65     259    1.04      1.68    9.74
  77058  406123 20250604 101650    7.05    7.45   17.84   8.44 9.67     103    1.19     124    0.69     285    0.56      1.58    9.73
  77058  406123 20250604 101707    8.02    6.52   17.86   8.45 9.66     103    1.21     127    0.71     291    0.68      1.64    9.72
  77058  406123 20250604 101725    9.09    5.36   17.85   8.45 9.65     103    1.26     132    0.74     306    0.56      1.55    9.71
  77058  406123 20250604 101804   10.00    4.23   17.59   8.36 9.00      95    1.41     149    0.83     365    0.78      1.75    9.06
  77058  406123 20250604 101901   10.93    3.31   16.78   8.12 7.84      82    1.90     204    1.16     556    0.45      1.85    7.89
  77058  406123 20250604 101939   12.05    2.42   16.67   8.09 7.54      79    2.09     224    1.29     627    0.37      1.78    7.59
  77058  406123 20250604 102017   12.95    1.59   16.68   8.10 7.50      78    2.13     229    1.31     643    0.34      1.81    7.55
  77058  406123 20250604 102046   14.09    0.00   16.71   8.10 7.52      78    2.19     235    1.35     666    0.47      3.66    7.57
