# VTK  10 Delta
* 04-06-2025 12:02:02
#X: 80096 - Y: 408046
#00 DONARLOCATIE: ZTS-07
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  80095  408046 20250604 120212    0.99   15.71   17.95   8.38 9.85     105    0.88      92    0.50     180    1.63      2.34    9.91
  80095  408046 20250604 120222    1.00   15.69   17.96   8.38 9.86     105    0.88      92    0.50     180    1.68      2.15    9.91
  80095  408046 20250604 120239    2.00   14.79   17.95   8.38 9.84     105    0.88      92    0.50     180    1.57      2.34    9.90
  80095  408046 20250604 120255    2.99   13.87   17.94   8.38 9.81     104    0.88      92    0.50     180    1.49      2.40    9.87
  80095  408046 20250604 120316    4.02   12.77   17.95   8.38 9.80     104    0.88      92    0.50     180    1.46      2.24    9.85
  80095  408046 20250604 120334    5.03   11.71   17.95   8.38 9.79     104    0.88      92    0.50     180    1.58      2.24    9.85
  80095  408046 20250604 120350    6.03   10.76   17.95   8.38 9.79     104    0.88      92    0.50     180    1.47      2.22    9.84
  80095  408046 20250604 120406    7.03    9.68   17.94   8.38 9.79     104    0.88      92    0.50     180    1.56      2.25    9.84
  80095  408046 20250604 120422    7.97    8.71   17.94   8.37 9.77     104    0.88      92    0.50     180    1.78      2.27    9.82
  80095  408046 20250604 120438    9.01    7.69   17.93   8.37 9.76     104    0.88      92    0.51     181    1.69      2.09    9.81
  80095  408046 20250604 120456    9.97    6.77   17.93   8.37 9.72     103    0.88      92    0.51     181    1.71      2.45    9.78
  80095  408046 20250604 120514   11.00    5.68   17.93   8.37 9.72     103    0.88      92    0.51     181    1.31      2.41    9.77
  80095  408046 20250604 120546   12.06    4.58   17.94   8.37 9.72     103    0.88      92    0.51     181    1.74      2.23    9.78
  80095  408046 20250604 120603   13.01    3.60   17.93   8.37 9.73     103    0.88      92    0.51     181    1.46      2.20    9.78
  80095  408046 20250604 120619   14.03    2.51   17.94   8.37 9.73     103    0.88      92    0.51     181    1.53      2.39    9.78
  80095  408046 20250604 120640   15.06    1.50   17.94   8.36 9.73     103    0.88      92    0.51     181    1.30      2.22    9.78
  80095  408046 20250604 120657   16.04    0.00   17.94   8.37 9.72     103    0.88      92    0.51     181    1.46      2.30    9.78
