# VTK  2 Delta
* 04-06-2025 08:21:06
#X: 71547 - Y: 409436
#00 DONARLOCATIE: ZTS-16
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  71547  409435 20250604 82119    1.03   12.46   17.66   8.84 11.9     126    1.61     170    0.96     437    5.80      1.79   11.93
  71547  409435 20250604 82129    1.00   18.58   17.66   8.84 12.0     126    1.61     170    0.96     437    5.83      1.89   11.98
  71547  409435 20250604 82151    2.02   17.99   17.67   8.83 11.9     126    1.62     170    0.96     439    5.43      1.77   11.91
  71547  409435 20250604 82210    3.05   18.29   17.68   8.82 11.9     126    1.62     170    0.96     439    5.88      1.75   11.90
  71547  409435 20250604 82228    3.98   17.50   17.67   8.83 11.9     126    1.62     170    0.96     438    5.51      1.88   11.94
  71547  409435 20250604 82251    4.99   16.55   17.67   8.83 11.9     126    1.62     170    0.96     439    5.58      1.92   11.94
  71547  409435 20250604 82309    6.02   12.88   17.68   8.82 11.9     125    1.62     170    0.96     439    5.35      1.81   11.89
  71547  409435 20250604 82335    6.95   15.14   17.67   8.82 11.8     125    1.62     170    0.96     439    5.88      1.80   11.82
  71547  409435 20250604 82410    7.99   13.20   17.55   8.73 11.4     120    1.77     186    1.06     495    4.41      1.69   11.41
  71547  409435 20250604 82433    9.03   13.12   17.50   8.68 11.1     117    1.88     199    1.13     539    4.29      1.59   11.15
  71547  409435 20250604 82517    9.97   12.10   17.31   8.57 10.3     109    2.08     220    1.26     612    3.93      1.76   10.34
  71547  409435 20250604 82612   11.07   10.92   17.36   8.51 10.2     107    2.62     277    1.61     798    2.91      2.66   10.21
  71547  409435 20250604 82653   12.01   10.04   16.76   8.32 8.43      88    2.54     273    1.58     781    1.83      2.15    8.43
  71547  409435 20250604 82736   13.02    8.84   16.14   8.16 7.65      78    2.66     290    1.69     840    0.63      1.65    7.63
  71547  409435 20250604 82813   14.04    7.82   15.76   8.05 6.73      68    2.68     294    1.72     857    0.78      1.94    6.72
  71547  409435 20250604 82851   15.01    6.91   15.22   7.93 5.61      56    2.62     291    1.69     844    0.64      2.15    5.60
  71547  409435 20250604 82953   15.98    6.09   14.26   7.75 3.97      39    2.52     286    1.67     827    1.74      2.07    3.96
  71547  409435 20250604 83029   16.99    4.25   13.91   7.70 3.30      32    2.47     283    1.65     818    0.57      2.12    3.29
  71547  409435 20250604 83118   18.05    4.01   13.20   7.59 1.61      15    2.39     279    1.62     802    0.43      1.51    1.61
  71547  409435 20250604 83138   18.95    3.01   13.15   7.58 1.43      14    2.39     278    1.62     801    0.49      1.56    1.43
  71547  409435 20250604 83222   19.97    2.07   12.83   7.54 0.59       6    2.36     277    1.61     795    0.45      1.53    0.58
  71547  409435 20250604 83255   21.04    0.95   12.21   7.51 0.26       2    2.29     272    1.59     781    0.45      1.49    0.26
