# VTK  9 Delta
* 04-06-2025 11:28:06
#X: 85864 - Y: 411439
#00 DONARLOCATIE: ZTS-01
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  85864  411439 20250604 112819    1.02   12.76   18.33   8.31 9.52     102    0.72      74    0.41     131    1.12      2.68    9.57
  85864  411439 20250604 112829    1.02   12.75   18.32   8.31 9.50     102    0.72      75    0.41     133    1.06      2.80    9.55
  85864  411439 20250604 112851    2.06   11.75   18.32   8.30 9.46     101    0.71      74    0.40     131    1.31      2.66    9.51
  85864  411439 20250604 112908    2.96   10.53   18.30   8.30 9.42     101    0.73      75    0.41     134    1.01      2.92    9.47
  85864  411439 20250604 112931    4.03    8.81   18.28   8.26 9.26      99    0.75      78    0.43     141    0.69      2.91    9.31
  85864  411439 20250604 112955    5.01    8.26   18.26   8.27 9.21      99    0.76      79    0.43     143    0.76      3.04    9.26
  85864  411439 20250604 113024    5.99    7.47   18.23   8.26 9.06      97    0.76      79    0.43     144    0.79      3.08    9.11
  85864  411439 20250604 113042    6.98    6.44   18.22   8.25 9.03      97    0.76      79    0.43     144    0.79      3.11    9.08
  85864  411439 20250604 113101    7.98    5.33   18.16   8.24 8.95      96    0.76      79    0.43     144    0.96      3.20    9.00
  85864  411439 20250604 113131    9.02    3.67   18.01   8.19 8.64      92    0.76      80    0.43     145    0.74      3.56    8.69
  85864  411439 20250604 113149   10.04    2.62   17.99   8.17 8.53      91    0.77      80    0.44     148    0.55      3.48    8.57
  85864  411439 20250604 113207   10.97    1.85   17.94   8.15 8.44      90    0.78      81    0.44     150    0.66      3.35    8.48
  85864  411439 20250604 113238   11.97    0.86   17.87   8.10 8.08      86    0.79      83    0.45     155    0.59      3.59    8.12
