# VTK  8 Delta
* 04-06-2025 10:51:05
#X: 83598 - Y: 408368
#00 DONARLOCATIE: ZTS-04
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  83597  408369 20250604 105117    0.90   10.35   18.07   8.36 9.75     104    0.84      88    0.48     169    1.14      2.08    9.81
  83597  408369 20250604 105127    1.00   10.30   18.06   8.36 9.74     104    0.84      88    0.48     169    1.29      1.99    9.81
  83597  408369 20250604 105144    2.05    8.85   18.06   8.37 9.72     104    0.84      88    0.48     169    1.33      2.15    9.78
  83597  408369 20250604 105201    3.04    8.06   18.07   8.37 9.72     104    0.84      88    0.48     168    1.25      2.26    9.78
  83597  408369 20250604 105217    4.00    0.00   18.07   8.37 9.71     104    0.84      88    0.48     169    1.20      2.05    9.78
  83597  408369 20250604 105236    4.96    6.70   18.07   8.37 9.71     104    0.84      88    0.48     169    1.12      2.06    9.78
  83597  408369 20250604 105301    5.95    6.08   18.06   8.37 9.69     103    0.85      88    0.48     170    1.07      2.11    9.76
  83597  408369 20250604 105322    7.01    5.10   18.06   8.36 9.68     103    0.85      88    0.49     170    0.96      2.21    9.75
  83597  408369 20250604 105339    8.00    4.01   18.05   8.36 9.67     103    0.85      88    0.49     170    1.06      2.16    9.73
  83597  408369 20250604 105401    9.05    3.24   18.06   8.36 9.67     103    0.84      88    0.48     169    1.07      2.14    9.73
  83597  408369 20250604 105418    9.95    2.49   18.06   8.36 9.68     103    0.84      88    0.48     169    1.06      2.34    9.74
  83597  408369 20250604 105435   11.03    1.59   18.06   8.36 9.69     103    0.84      88    0.48     169    1.11      2.12    9.75
  83597  408369 20250604 105453   11.96    0.87   18.06   8.36 9.69     103    0.85      88    0.49     170    1.00      2.08    9.75
