# VTK  13 Delta
* 04-06-2025 13:55:46
#X: 71441 - Y: 391953
#00 DONARLOCATIE: ZTS-34
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  71441  391953 20250604 135559    0.98    4.47   17.64   8.59 10.5     112    1.50     157    0.89     395    1.39      1.46   10.59
  71441  391953 20250604 135609    1.00   12.75   17.63   8.59 10.5     112    1.50     158    0.89     395    1.23      1.39   10.59
  71441  391953 20250604 135625    2.03    4.82   17.62   8.59 10.5     111    1.50     158    0.89     396    1.37      1.30   10.57
  71441  391953 20250604 135641    3.01   13.33   17.61   8.58 10.5     111    1.50     158    0.89     396    1.24      1.34   10.55
  71441  391953 20250604 135658    4.01   15.17   17.60   8.58 10.4     111    1.50     158    0.89     396    1.22      1.54   10.53
  71441  391953 20250604 135714    5.00   14.19   17.60   8.58 10.4     111    1.50     158    0.89     397    1.29      1.43   10.51
  71441  391953 20250604 135731    6.05    6.05   17.60   8.59 10.4     111    1.50     158    0.89     397    1.17      1.40   10.51
  71441  391953 20250604 135749    7.00   12.38   17.60   8.59 10.4     111    1.50     158    0.89     396    1.20      1.36   10.51
  71441  391953 20250604 135805    7.99    0.15   17.60   8.58 10.4     111    1.50     158    0.89     397    1.20      1.37   10.51
  71441  391953 20250604 135858    9.02   10.73   16.65   8.34 9.27      96    1.59     171    0.97     442    0.42      1.35    9.32
  71441  391953 20250604 135943   10.03    9.95   16.15   8.21 8.54      88    1.75     190    1.08     509    0.33      1.45    8.59
  71441  391953 20250604 140021   10.97    8.94   16.09   8.15 8.13      84    1.90     207    1.18     566    0.33      1.83    8.18
  71441  391953 20250604 140039   12.01    7.88   15.98   8.13 7.98      82    1.96     214    1.23     593    0.40      1.85    8.02
  71441  391953 20250604 140154   13.01    6.93   14.91   7.76 5.45      55    2.73     306    1.79     896    0.34      2.19    5.48
  71441  391953 20250604 140216   14.03    5.50   14.87   7.76 5.28      53    3.23     361    2.13    1090    0.31      2.28    5.31
  71441  391953 20250604 140353   15.00    4.78   13.62   7.64 3.88      38    3.36     387    2.30    1182    0.39      2.28    3.90
  71441  391953 20250604 140504   16.02    3.94   11.76   7.45 0.47       4    3.37     405    2.42    1245    0.47      1.60    0.47
  71441  391953 20250604 140522   17.03    2.74   11.54   7.45 0.34       3    3.39     411    2.45    1264    0.46      1.62    0.34
  71441  391953 20250604 140544   18.04    1.15   11.37   7.45 0.24       2    3.75     457    2.74    1427    0.54      1.57    0.24
