# VTK  8 Delta
* 05-06-2025 11:55:06
#X: 79259 - Y: 372150
#00 DONARLOCATIE: ZTS-46
#08 WAARNEMER(S): Hartman
@ par2.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  79259  372150 20250605 115517    1.01   14.97   17.95   8.24 9.63     107   12.12    1266    8.14    4526    1.65      2.36    9.69
  79259  372150 20250605 115527    1.01   15.04   17.95   8.24 9.62     107   12.11    1266    8.13    4523    1.63      2.41    9.68
  79259  372150 20250605 115544    2.02   14.11   17.96   8.23 9.61     107   12.13    1268    8.15    4531    1.67      2.27    9.67
  79259  372150 20250605 115601    3.01   13.15   17.96   8.23 9.60     107   12.13    1267    8.14    4529    1.71      2.37    9.66
  79259  372150 20250605 115618    4.01   12.18   17.96   8.23 9.60     107   12.13    1267    8.14    4530    1.84      2.42    9.67
  79259  372150 20250605 115637    5.02   11.18   17.96   8.23 9.61     107   12.13    1268    8.15    4532    1.92      2.50    9.67
  79259  372150 20250605 115654    6.02   10.18   17.95   8.23 9.58     107   12.16    1271    8.17    4545    1.95      2.44    9.64
  79259  372150 20250605 115712    7.04    9.09   17.95   8.23 9.57     107   12.17    1272    8.17    4547    1.92      2.39    9.63
  79259  372150 20250605 115729    7.97    8.00   17.96   8.23 9.55     107   12.18    1273    8.18    4552    1.76      2.40    9.61
  79259  372150 20250605 115746    9.05    6.94   17.95   8.23 9.54     106   12.20    1275    8.20    4559    1.68      2.47    9.60
  79259  372150 20250605 115804    9.98    5.96   17.95   8.23 9.51     106   12.22    1277    8.21    4567    1.76      2.48    9.57
  79259  372150 20250605 115821   11.06    4.93   17.96   8.22 9.48     106   12.26    1282    8.24    4585    1.73      2.61    9.54
  79259  372150 20250605 115841   12.01    4.00   18.05   8.19 9.32     104   12.77    1332    8.59    4782    1.46      4.73    9.39
  79259  372150 20250605 115901   13.05    3.09   18.07   8.18 9.24     104   12.97    1353    8.74    4862    1.63      5.94    9.30
  79259  372150 20250605 115926   14.03    2.08   18.07   8.16 9.11     102   13.34    1390    9.00    5010    1.39      6.98    9.17
  79259  372150 20250605 115943   14.97    1.16   18.05   8.14 8.95     101   13.67    1426    9.25    5149    1.41      6.88    9.01
