# VTK  4 Delta
* 04-06-2025 08:47:47
#X: 72454 - Y: 408701
#00 DONARLOCATIE: ZTS-12
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  72454  408701 20250604 84801    0.98    0.79   17.67   8.73 11.5     122    1.45     153    0.86     379    5.12      1.64   11.55
  72454  408701 20250604 84811    0.98    0.82   17.67   8.74 11.5     122    1.45     153    0.86     379    4.46      1.75   11.55
  72454  408701 20250604 84834    2.01    0.75   17.68   8.74 11.5     122    1.46     153    0.86     380    4.98      1.72   11.54
  72454  408701 20250604 84906    3.02    8.29   17.68   8.74 11.5     122    1.46     153    0.86     381    4.91      1.65   11.52
  72454  408701 20250604 84929    4.02    7.32   17.68   8.74 11.5     121    1.46     153    0.86     381    4.95      1.64   11.48
  72454  408701 20250604 84959    5.00    6.38   17.68   8.74 11.6     123    1.53     160    0.91     405    5.00      1.73   11.63
  72454  408701 20250604 85018    6.01    5.07   17.62   8.74 11.7     124    1.66     175    0.99     455    5.87      1.76   11.76
  72454  408701 20250604 85041    6.95    4.12   17.62   8.75 11.8     124    1.69     178    1.01     467    5.59      1.95   11.79
  72454  408701 20250604 85110    8.07    3.09   17.63   8.67 11.6     122    1.75     184    1.04     488    2.69      1.43   11.60
  72454  408701 20250604 85138    8.96    2.22   17.61   8.66 11.4     121    1.75     185    1.05     489    3.57      1.55   11.45
  72454  408701 20250604 85229    9.96    1.08   17.19   8.38 9.46      99    2.10     223    1.28     625    2.94      1.73    9.45
