# VERTIKAAL 8 M.C.ECOS 6 VERTIKAAL
* 13-12-2024 08:32:18
#X: 79391 - Y: 372226
#00 DONARLOCATIE: ZTS-46
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par6.dat
## TLU        oC <-->
## LUCHTDK    hPa <1030>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  79391  372226 20241213 83228    1.00   15.93    9.72   7.98    7.68     973    6.16    3427    0.39    4.86    0.17
  79391  372226 20241213 83235    1.94   14.83    9.72   7.98    7.68     973    6.16    3426    0.50    4.69    0.28
  79391  372226 20241213 83237    2.89   13.73    9.73   7.98    7.68     973    6.16    3428    0.39    4.76    0.24
  79391  372226 20241213 83240    3.98   12.70    9.73   7.98    7.69     974    6.17    3431    0.37    5.09   -0.04
  79391  372226 20241213 83242    5.03   11.44    9.73   7.98    7.70     975    6.18    3435    0.39    5.10    0.13
  79391  372226 20241213 83244    5.90   10.25    9.73   7.98    7.69     974    6.17    3433    0.39    5.14    0.08
  79391  372226 20241213 83246    6.91    9.39    9.72   7.98    7.72     978    6.19    3445    0.37    5.14    0.15
  79391  372226 20241213 83249    7.89    8.46    9.71   7.98    7.76     983    6.23    3465    0.36    5.51    0.04
  79391  372226 20241213 83251    8.92    7.34    9.70   7.98    7.78     986    6.25    3478    0.45    5.83    0.00
  79391  372226 20241213 83253    9.91    6.03    9.70   7.98    7.81     989    6.27    3490    0.37    6.01    0.05
  79391  372226 20241213 83256   11.00    5.09    9.70   7.98    7.82     991    6.29    3497    0.51    6.36    0.10
  79391  372226 20241213 83258   12.02    4.01    9.71   7.98    7.84     993    6.30    3504    0.37    6.75    0.07
  79391  372226 20241213 83303   12.90    2.94    9.71   7.98    7.85     994    6.31    3509    0.36    6.67    0.09
  79391  372226 20241213 83305   13.97    1.98    9.71   7.98    7.85     995    6.31    3511    0.40    7.06    0.16
  79391  372226 20241213 83313   14.95    0.86    9.71   7.99    7.86     996    6.32    3513    0.37    7.28    0.25
