# VERTIKAAL 6 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 11:00:11
#X: 58026 - Y: 417052
#00 DONARLOCATIE: GTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  58026  417052 20240909 110019    1.05    0.99   20.96   8.03 7.50     101   41.24    4041   28.93   16335    1.72    0.89
  58025  417055 20240909 110038    1.93    0.99   20.96   8.03 7.49     101   41.24    4041   28.93   16335    1.72    0.83
  58025  417058 20240909 110104    2.95    0.99   20.94   8.03 7.46     100   41.22    4041   28.94   16336    1.83    0.81
  58026  417061 20240909 110136    4.02    0.99   20.93   8.03 7.43     100   41.22    4042   28.94   16337    1.53    0.75
  58040  417083 20240909 110208    4.96    0.99   20.93   8.02 7.37      99   41.22    4042   28.94   16340    1.32    0.78
  58040  417088 20240909 110256    6.07    0.99   20.92   8.00 7.14      96   41.22    4043   28.95   16345    1.38    0.83
  58043  417097 20240909 110349    7.02    0.99   20.78   7.90 6.17      83   41.37    4069   29.16   16465    1.15    0.82
  58047  417103 20240909 110429    7.99    0.99   20.71   7.85 5.06      68   41.81    4119   29.56   16696    1.28    0.99
  58052  417107 20240909 110454    9.09    0.99   20.51   7.83 4.74      64   42.61    4215   30.33   17142    0.50    0.85
  58056  417111 20240909 110519    9.91    0.99   20.45   7.88 4.97      67   42.96    4255   30.65   17327    0.27    0.71
  58061  417117 20240909 110551   10.98    0.99   20.32   7.82 4.52      61   42.83    4254   30.64   17322    0.24    0.66
  58102  417129 20240909 110614   11.99    0.99   20.23   7.82 4.44      59   42.84    4264   30.72   17367    0.23    0.66
  58107  417131 20240909 110642   13.10    0.99   20.13   7.79 4.30      57   42.83    4271   30.77   17402    0.14    0.69
  58108  417138 20240909 110715   14.01    0.99   19.94   7.74 3.94      52   42.65    4271   30.77   17401    0.25    0.72
  58109  417145 20240909 110749   15.00    0.99   19.92   7.74 3.86      51   42.71    4278   30.84   17438    0.15    0.74
  58110  417149 20240909 110813   16.06    0.99   19.79   7.71 3.67      49   42.63    4282   30.87   17457    0.12    0.79
  58112  417155 20240909 110845   16.99    0.99   19.77   7.71 3.52      47   42.61    4282   30.86   17454    0.09    0.84
  58112  417156 20240909 110905   18.02    0.99   19.75   7.70 3.46      46   42.60    4283   30.87   17459    0.16    0.99
