# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 09-09-2024 12:42:48
#X: 47997 - Y: 418341
#00 DONARLOCATIE: GTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): hofman
@ par1.dat
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <2>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  47997  418341 20240909 124257    1.07    0.99   20.86   8.06 8.12     109   41.41    4067   29.14   16454    2.80    0.93
  47995  418339 20240909 124331    2.10    0.99   20.86   8.06 8.11     109   41.41    4067   29.14   16455    2.39    0.81
  47994  418339 20240909 124356    3.04    0.99   20.84   8.06 8.08     108   41.40    4067   29.14   16456    2.89    0.75
  47993  418331 20240909 124423    4.04    0.99   20.83   8.06 8.06     108   41.40    4068   29.15   16458    2.38    0.90
  47992  418327 20240909 124441    4.97    0.99   20.83   8.06 8.02     108   41.40    4068   29.15   16459    2.19    0.91
  47988  418318 20240909 124514    5.97    0.99   20.81   8.05 7.94     106   41.39    4069   29.15   16462    2.10    0.82
  47983  418311 20240909 124554    7.04    0.99   21.01   8.00 6.99      95   42.67    4178   30.03   16966    0.84    0.84
  47975  418310 20240909 124638    7.94    0.99   20.96   7.99 6.67      90   43.12    4226   30.41   17187    0.78    0.92
  47974  418313 20240909 124704    8.96    0.99   20.88   7.97 6.33      86   43.40    4261   30.69   17350    0.57    0.98
  47972  418317 20240909 124730    9.92    0.99   20.80   7.97 6.29      85   43.50    4277   30.82   17426    0.90    1.18
  47970  418326 20240909 124807   11.06    0.99   20.47   7.91 5.27      71   43.30    4287   30.90   17474    0.43    1.20
  47968  418334 20240909 124841   11.92    0.99   20.10   7.86 4.68      62   43.09    4300   31.01   17540    0.61    1.31
  47971  418344 20240909 124916   12.92    0.99   19.61   7.79 3.76      50   42.76    4312   31.11   17596    0.22    0.83
  47974  418361 20240909 125019   14.09    0.99   18.39   7.62 1.32      17   41.58    4304   31.04   17565    0.15    0.93
