# VERTIKAAL 9 M.C.ECOS 6 VERTIKAAL
* 01-05-2025 09:43:38
#X: 83688 - Y: 408515
#00 DONARLOCATIE: ZTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1019>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  83688  408515 20250501 94338    1.08   13.15   16.05   8.34    1.05     114    0.63     251    1.01    0.93   -0.30
  83688  408515 20250501 94348    1.96   11.71   16.05   8.34    1.05     114    0.63     250    0.84    0.86   -0.44
  83688  408515 20250501 94352    2.96   10.46   16.03   8.34    1.05     115    0.64     252    0.83    0.82   -0.37
  83688  408515 20250501 94356    3.95    9.26   15.98   8.34    1.05     115    0.64     254    0.94    0.90   -0.35
  83688  408515 20250501 94400    4.93    8.11   15.89   8.34    1.07     117    0.65     261    1.11    0.83   -0.36
  83688  408515 20250501 94404    5.91    6.92   15.73   8.32    1.09     119    0.67     268    0.90    0.93   -0.34
  83688  408515 20250501 94408    6.93    5.78   15.49   8.29    1.16     128    0.71     293    0.84    0.85   -0.37
  83688  408515 20250501 94412    7.94    4.67   15.23   8.27    1.25     139    0.78     332    0.65    0.97   -0.47
  83688  408515 20250501 94416    8.98    3.56   15.00   8.26    1.30     145    0.82     353    0.58    0.92   -0.50
  83688  408515 20250501 94420    9.96    2.49   14.90   8.24    1.31     147    0.83     358    0.53    1.15   -0.41
  83688  408515 20250501 94424   10.98    1.51   14.80   8.24    1.31     147    0.83     358    0.55    1.42   -0.44
  83688  408515 20250501 94431   11.98    0.35   14.74   8.22    1.32     148    0.84     364    0.48    1.45   -0.43
