# VERTIKAAL 13 M.C.ECOS 6 VERTIKAAL
* 30-04-2025 14:16:49
#X: 72700 - Y: 391000
#00 DONARLOCATIE: ZTS-32
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par12.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72700  391000 20250430 141649    0.99   15.33   17.32   8.39    1.44     152    0.86     377    0.97    1.07   -0.46
  72700  391000 20250430 141700    2.04    0.00   17.32   8.43    1.45     154    0.86     381    1.57    0.92   -0.38
  72700  391000 20250430 141704    2.93    0.00   16.86   8.46    1.44     154    0.87     384    1.95    0.83   -0.30
  72700  391000 20250430 141709    4.00   14.66   16.41   8.45    1.42     154    0.86     381    1.60    0.96   -0.41
  72700  391000 20250430 141713    4.91   14.08   16.03   8.42    1.41     153    0.86     381    1.35    0.97   -0.44
  72700  391000 20250430 141718    5.91   13.71   15.31   8.36    1.39     154    0.87     384    1.22    1.20   -0.51
  72700  391000 20250430 141723    6.98   12.53   14.39   8.27    1.38     156    0.88     389    0.93    1.04   -0.60
  72700  391000 20250430 141728    8.02   11.66   14.15   8.25    1.37     156    0.88     391    0.81    0.97   -0.50
  72700  391000 20250430 141733    9.04   10.82   13.50   8.19    1.37     159    0.90     399    0.74    1.08   -0.50
  72700  391000 20250430 141738   10.06    9.66   13.14   8.15    1.39     162    0.92     409    0.74    1.12   -0.51
  72700  391000 20250430 141743   11.03    8.89   12.51   8.07    1.45     171    0.97     443    0.72    1.22   -0.53
  72700  391000 20250430 141748   12.02    7.90   11.68   7.89    1.54     186    1.06     495    0.73    1.56   -0.52
  72700  391000 20250430 141753   12.98    6.88   11.10   7.71    1.65     202    1.16     551    0.81    2.08   -0.43
  72700  391000 20250430 141758   13.96    0.00   10.56   7.58    1.83     227    1.31     639    0.84    2.36   -0.34
  72700  391000 20250430 141804   14.93    4.80   10.42   7.55    1.99     248    1.44     711    0.77    2.61   -0.35
  72700  391000 20250430 141811   16.00    0.00   10.24   7.52    2.06     257    1.50     744    0.85    2.78   -0.36
  72700  391000 20250430 141817   16.95    0.00    9.83   7.49    2.04     258    1.50     747    0.85    2.60   -0.42
  72700  391000 20250430 141822   17.98    0.53    9.13   7.47    1.96     252    1.47     727    0.83    2.16   -0.31
