# VERTIKAAL 2 M.C.ECOS 6 VERTIKAAL
* 30-04-2025 09:53:02
#X: 79391 - Y: 372226
#00 DONARLOCATIE: ZTS-46
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1024>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  79391  372226 20250430 95302    0.88   15.54   14.98   8.10    8.38     935    5.88    3269    2.02    1.20   -0.15
  79391  372226 20250430 95318    1.99   14.12   14.98   8.10    8.36     934    5.87    3262    2.66    1.13   -0.13
  79391  372226 20250430 95323    3.00   13.00   14.98   8.11    8.36     934    5.87    3262    2.69    1.06   -0.16
  79391  372226 20250430 95328    4.03   11.99   14.97   8.10    8.37     935    5.88    3268    2.65    1.22   -0.07
  79391  372226 20250430 95333    4.98   11.00   14.97   8.10    8.40     938    5.90    3279    2.57    1.20   -0.15
  79391  372226 20250430 95338    6.01    9.94   14.97   8.10    8.42     940    5.92    3288    2.61    1.20   -0.13
  79391  372226 20250430 95343    7.02    8.99   14.97   8.10    8.44     943    5.94    3298    2.59    1.11   -0.12
  79391  372226 20250430 95348    8.05    7.91   14.98   8.10    8.48     948    5.97    3315    2.53    1.15   -0.10
  79391  372226 20250430 95353    8.94    7.00   14.98   8.10    8.52     952    5.99    3330    2.60    1.25   -0.16
  79391  372226 20250430 95358    9.92    5.97   14.97   8.09    8.58     958    6.04    3355    2.61    1.24   -0.23
  79391  372226 20250430 95403   10.91    4.88   15.01   8.09    8.77     979    6.18    3434    2.64    1.44   -0.16
  79391  372226 20250430 95408   12.05    3.79   15.02   8.09    8.98    1002    6.33    3520    2.38    1.47   -0.13
  79391  372226 20250430 95412   12.94    2.91   14.99   8.09    9.14    1020    6.46    3589    2.35    1.51   -0.19
  79391  372226 20250430 95417   13.99    1.85   14.94   8.07    9.44    1055    6.70    3722    2.14    1.73   -0.25
  79391  372226 20250430 95422   15.05    0.92   14.93   8.05    9.79    1095    6.97    3876    1.94    2.20   -0.25
