# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 09:14:15
#X: 48050 - Y: 396610
#00 DONARLOCATIE: VTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  48050  396610 20250526 91424    1.02   12.54   15.89   8.09 7.60      92   37.63    4117   29.55   16712    0.69    0.72
  48050  396610 20250526 91450    2.01   11.96   15.88   8.09 7.63      92   37.61    4116   29.54   16708    0.73    0.81
  48050  396610 20250526 91509    3.03   11.23   15.89   8.09 7.62      92   37.63    4117   29.55   16712    0.74    0.77
  48050  396610 20250526 91527    4.01   10.35   15.92   8.09 7.61      92   37.73    4125   29.62   16749    0.72    0.85
  48050  396610 20250526 91555    4.97    8.00   16.01   8.09 7.53      91   38.13    4161   29.90   16915    0.70    1.10
  48050  396610 20250526 91620    5.99    8.49   16.03   8.09 7.45      90   38.47    4195   30.18   17072    0.59    1.20
  48050  396610 20250526 91634    7.02    7.55   15.98   8.09 7.44      90   38.47    4200   30.21   17095    0.55    1.32
  48050  396610 20250526 91648    7.98    6.58   15.95   8.09 7.42      90   38.46    4202   30.23   17103    0.54    1.32
  48050  396610 20250526 91709    9.00    5.54   15.95   8.10 7.41      90   38.50    4206   30.27   17124    0.50    1.35
  48050  396610 20250526 91734    9.99    4.41   15.91   8.10 7.46      91   38.51    4211   30.31   17148    0.59    1.35
  48050  396610 20250526 91806   11.02    3.09   15.85   8.10 7.43      90   38.49    4215   30.34   17165    0.46    1.44
  48050  396610 20250526 91826   12.02    1.81   15.88   8.11 7.47      91   38.56    4221   30.38   17192    0.47    1.35
  48050  396610 20250526 91854   13.01    0.00   15.86   8.10 7.42      90   38.58    4224   30.41   17206    0.50    1.55
