# VERTIKAAL 6 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 10:03:29
#X: 42820 - Y: 397321
#00 DONARLOCATIE: VTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  42820  397321 20250526 100337    1.00   14.48   16.10   8.14 7.38      89   36.99    4027   28.84   16299    0.39    0.34
  42820  397321 20250526 100400    2.00   14.16   16.10   8.15 7.41      89   36.99    4029   28.85   16304    0.38    0.23
  42820  397321 20250526 100414    3.01   13.44   16.09   8.15 7.44      90   36.99    4029   28.85   16308    0.36    0.34
  42820  397321 20250526 100429    3.99   12.50   16.04   8.15 7.45      90   36.99    4033   28.88   16323    0.44    0.30
  42820  397321 20250526 100453    4.98   11.16   16.04   8.14 7.40      89   37.01    4036   28.91   16339    0.34    0.44
  42820  397321 20250526 100514    6.00    9.65   16.08   8.14 7.35      89   37.13    4045   28.98   16380    0.38    0.48
  42820  397321 20250526 100530    7.04    8.74   16.12   8.14 7.33      88   37.20    4050   29.01   16401    0.31    0.35
  42820  397321 20250526 100556    8.01    7.90   16.13   8.14 7.23      87   37.38    4068   29.16   16484    0.34    0.66
  42820  397321 20250526 100610    8.96    6.96   16.13   8.14 7.22      87   37.42    4073   29.20   16508    0.24    0.67
  42820  397321 20250526 100626   10.00    5.93   16.09   8.14 7.19      87   37.51    4086   29.30   16567    0.36    0.72
  42820  397321 20250526 100646   11.04    4.89   16.07   8.14 7.13      86   37.64    4102   29.43   16641    0.54    0.85
  42820  397321 20250526 100701   11.98    3.73   16.06   8.14 7.10      86   37.66    4105   29.46   16657    0.35    0.94
  42820  397321 20250526 100715   12.99    2.75   16.05   8.14 7.09      86   37.68    4107   29.48   16668    0.23    0.99
  42820  397321 20250526 100729   13.96    1.61   16.04   8.13 7.07      86   37.71    4112   29.51   16689    0.28    1.38
  42820  397321 20250526 100743   15.02    0.00   16.03   8.13 7.05      85   37.74    4117   29.55   16710    0.41    1.23
