# VERTIKAAL 16 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 13:07:41
#X: 33140 - Y: 400240
#00 DONARLOCATIE: VTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  33140  400240 20250526 130750    1.01   11.89   15.63   8.24 8.13      97   35.87    3948   28.21   15940    0.69    0.27
  33140  400240 20250526 130807    2.00   11.04   15.53   8.23 8.13      96   35.81    3950   28.23   15949    0.85    0.30
  33140  400240 20250526 130933    3.00   10.61   15.40   8.22 7.74      92   35.70    3949   28.22   15945    0.57    0.24
  33140  400240 20250526 131016    3.98   10.55   15.35   8.22 7.75      92   35.65    3949   28.22   15944    0.54    0.25
  33140  400240 20250526 131053    5.01    9.58   15.46   8.23 7.76      92   35.80    3955   28.27   15972    0.63    0.34
  33140  400240 20250526 131130    6.03    8.44   15.45   8.22 7.67      91   35.81    3957   28.28   15981    0.55    0.36
  33140  400240 20250526 131207    7.00    7.31   15.52   8.22 7.56      90   35.90    3961   28.31   15997    0.36    0.41
  33140  400240 20250526 131222    8.03    6.21   15.71   8.22 7.55      90   36.15    3972   28.40   16046    0.36    0.32
  33140  400240 20250526 131240    9.01    5.01   15.75   8.22 7.54      90   36.24    3978   28.45   16075    0.40    0.26
  33140  400240 20250526 131255   10.03    4.01   15.76   8.22 7.50      90   36.24    3977   28.44   16069    0.34    0.47
  33140  400240 20250526 131334   10.99    3.28   15.79   8.21 7.37      88   36.31    3982   28.48   16092    0.39    0.48
  33140  400240 20250526 131353   12.01    2.38   15.78   8.21 7.33      88   36.30    3982   28.48   16092    0.43    0.36
  33140  400240 20250526 131409   12.99    1.43   15.81   8.21 7.32      87   36.34    3983   28.49   16098    0.37    0.35
  33140  400240 20250526 131459   14.02    0.75   15.69   8.20 7.14      85   36.21    3980   28.46   16085    0.33    0.45
