# VERTIKAAL 17 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 13:19:39
#X: 33200 - Y: 400550
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  33200  400550 20250526 131954    0.98   18.13   15.70   8.26 8.47     101   35.97    3952   28.24   15955    0.57    0.35
  33200  400550 20250526 132053    1.99   15.05   15.52   8.24 8.18      97   35.80    3950   28.23   15948    0.68    0.26
  33200  400550 20250526 132147    2.97   15.21   15.44   8.24 8.09      96   35.73    3949   28.22   15946    0.84    0.24
  33200  400550 20250526 132247    4.01   11.80   15.36   8.23 7.88      93   35.68    3950   28.23   15950    0.66    0.33
  33200  400550 20250526 132319    4.98   10.79   15.35   8.23 7.83      93   35.67    3950   28.23   15949    0.62    0.25
  33200  400550 20250526 132334    5.99    9.49   15.34   8.22 7.81      92   35.66    3950   28.23   15950    0.65    0.19
  33200  400550 20250526 132405    6.99    8.34   15.34   8.22 7.66      91   35.69    3954   28.26   15966    0.44    0.35
  33200  400550 20250526 132442    8.02    6.58   15.42   8.22 7.52      89   35.83    3962   28.32   16002    0.40    0.28
  33200  400550 20250526 132525    8.99    5.04   15.44   8.22 7.40      88   35.87    3965   28.34   16015    0.36    0.31
  33200  400550 20250526 132553   10.01    4.03   15.53   8.21 7.33      87   35.99    3970   28.39   16040    0.38    0.35
  33200  400550 20250526 132608   11.02    3.04   15.53   8.21 7.29      87   36.00    3971   28.39   16044    0.29    0.39
  33200  400550 20250526 132650   12.00    1.45   15.52   8.21 7.15      85   35.99    3971   28.40   16046    0.34    0.33
  33200  400550 20250526 132716   13.00    0.00   15.52   8.20 7.08      84   36.00    3973   28.40   16051    0.35    0.55
