# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 09:40:34
#X: 45349 - Y: 396431
#00 DONARLOCATIE: VTS-14
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  45349  396431 20250526 94042    1.02    9.68   16.09   8.10 7.33      88   37.22    4054   29.05   16420    0.44    0.71
  45349  396431 20250526 94137    2.00    9.26   16.11   8.12 7.44      90   37.25    4055   29.06   16426    0.48    0.67
  45349  396431 20250526 94203    3.03    8.41   16.09   8.13 7.53      91   37.45    4078   29.24   16533    0.47    0.66
  45349  396431 20250526 94253    4.02    7.63   16.07   8.12 7.32      89   37.91    4131   29.66   16774    0.44    0.78
  45349  396431 20250526 94343    4.97    6.81   16.03   8.11 7.10      86   37.98    4143   29.76   16831    0.41    0.96
  45349  396431 20250526 94358    5.99    5.78   16.02   8.11 7.09      86   37.99    4144   29.77   16836    0.42    1.01
  45349  396431 20250526 94412    7.01    4.64   15.97   8.11 7.10      86   37.98    4149   29.81   16858    0.33    0.79
  45349  396431 20250526 94427    7.98    3.56   15.92   8.12 7.08      86   37.99    4153   29.84   16880    0.42    1.00
  45349  396431 20250526 94441    9.02    2.34   15.91   8.12 7.06      85   37.99    4155   29.86   16888    0.36    0.83
  45349  396431 20250526 94501    9.98    1.33   15.87   8.11 7.03      85   37.98    4157   29.88   16899    0.49    0.85
