# VERTIKAAL 4 Milieucontainer
* 24-06-2026 08:31:49
#X: 72400 - Y: 408760
#00 DONARLOCATIE: ZTS-12
#08 WAARNEMER(S): bernaards
@ par3.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH  GELDHD  SALNTT     CL- CHLFRFU  TROEBHFNU  PHYCOUGL
  72404  408760 20260624 83206    1.03   14.67   24.00   8.81    1.45     134    0.74     313    0.47       0.87      0.54
  72404  408760 20260624 83227    1.95    8.84   24.12   8.83    1.48     136    0.76     322    0.54       1.01      0.58
  72404  408760 20260624 83231    2.90    8.09   23.97   8.82    1.47     135    0.75     318    0.57       0.96      0.47
  72404  408760 20260624 83235    4.09    6.89   23.67   8.81    1.43     133    0.74     311    0.65       0.97      0.10
  72404  408760 20260624 83240    5.08    5.80   23.46   8.82    1.44     134    0.75     316    0.63       1.03      0.35
  72404  408760 20260624 83244    5.91    5.11   23.30   8.80    1.52     142    0.79     341    0.74       0.98      0.30
  72404  408760 20260624 83251    7.07    3.68   23.39   8.77    1.73     161    0.90     407    0.71       1.25      0.18
  72404  408760 20260624 83253    8.09    2.70   23.32   8.75    1.81     169    0.95     435    0.60       1.07      0.07
  72404  408760 20260624 83255    8.99    1.84   22.31   8.66    2.60     248    1.42     712    0.53       1.17      0.09
  72404  408760 20260624 83300    9.97    0.84   20.36   8.43    2.89     287    1.66     832    0.37       1.10      0.13
