# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 04-04-2024 08:29:49
#X: 61553 - Y: 412880
#00 DONARLOCATIE: GTS-14
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1002>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  61553  412880 20240404 82957    1.12    9.69   10.12   8.36 9.35     100   30.53    3830   27.30   15430    0.35    0.34
  61514  412899 20240404 83011    2.07    8.90   10.11   8.36 9.35     100   30.53    3830   27.30   15431    0.68    0.44
  61494  412910 20240404 83033    3.07    8.03   10.11   8.36 9.35     100   30.53    3830   27.30   15430    0.42    0.32
  61476  412920 20240404 83058    3.94    7.29   10.11   8.36 9.35     100   30.53    3831   27.31   15434    0.50    0.32
  61460  412928 20240404 83123    5.07    6.05   10.10   8.36 9.35     100   30.53    3831   27.31   15435    0.79    0.26
  61449  412931 20240404 83141    6.09    4.89   10.10   8.36 9.36     100   30.54    3832   27.31   15437    0.52    0.26
  61437  412938 20240404 83202    6.99    4.00   10.10   8.36 9.36     100   30.53    3832   27.31   15436    0.59    0.28
  61427  412947 20240404 83226    7.95    2.96   10.10   8.36 9.35     100   30.53    3832   27.32   15438    0.52    0.29
  61413  412956 20240404 83256    8.97    1.89   10.09   8.36 9.34     100   30.53    3833   27.32   15443    0.39    0.31
  61379  412979 20240404 83420    9.95    0.99    9.51   8.26 8.44      90   30.89    3934   28.12   15904    0.41    0.36
