# VTK  3 Delta
* 06-06-2025 08:41:11
#X: 60032 - Y: 419638
#00 DONARLOCATIE: GTS-27
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  60032  419638 20250606 84130    0.97   10.79   16.87   8.10 7.30      91   39.05    4179   30.05   16995    0.35      1.55    7.35
  60032  419638 20250606 84140    1.00   11.00   16.87   8.10 7.29      91   39.04    4178   30.04   16991    0.28      1.54    7.34
  60032  419638 20250606 84156    2.01    0.76   16.88   8.10 7.31      91   39.06    4180   30.05   16996    0.43      1.46    7.36
  60032  419638 20250606 84213    3.00    9.12   16.88   8.10 7.30      91   39.06    4180   30.05   16996    0.35      1.54    7.35
  60032  419638 20250606 84234    4.00    7.99   16.87   8.10 7.27      91   39.03    4178   30.03   16987    0.36      1.50    7.33
  60032  419638 20250606 84250    5.02    7.20   16.87   8.10 7.27      91   39.03    4178   30.04   16990    0.27      1.53    7.32
  60032  419638 20250606 84307    6.06    6.09   16.88   8.10 7.26      91   39.06    4180   30.05   16999    0.30      1.49    7.31
  60032  419638 20250606 84323    7.02    5.02   16.88   8.10 7.24      90   39.07    4181   30.06   17002    0.35      1.55    7.30
  60032  419638 20250606 84339    8.00    4.20   16.89   8.10 7.23      90   39.08    4182   30.07   17005    0.31      1.56    7.28
  60032  419638 20250606 84355    9.00    3.23   16.89   8.10 7.24      90   39.08    4181   30.06   17005    0.31      1.57    7.29
  60032  419638 20250606 84412    9.96    2.25   17.01   8.11 7.11      89   39.29    4192   30.15   17053    0.34      1.77    7.17
  60032  419638 20250606 84429   11.03    1.16   16.95   8.10 7.02      88   39.24    4192   30.15   17053    0.30      1.71    7.07
