# VTK  7 Delta
* 06-06-2025 09:56:38
#X: 51347 - Y: 421701
#00 DONARLOCATIE: GTS-23
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  51346  421699 20250606 95648    1.03   14.51   16.91   8.03 7.23      90   38.84    4154   29.84   16876    0.28      1.70    7.29
  51346  421699 20250606 95658    0.95   15.45   16.91   8.03 7.22      90   38.84    4153   29.84   16874    0.23      1.80    7.27
  51346  421699 20250606 95716    2.02   13.05   16.92   8.03 7.21      90   38.85    4154   29.84   16876    0.40      1.66    7.27
  51346  421699 20250606 95737    3.06   13.86   16.95   8.03 7.22      90   38.89    4155   29.85   16881    0.44      1.77    7.27
  51346  421699 20250606 95755    3.98   12.93   16.95   8.03 7.22      90   38.88    4154   29.85   16878    0.52      1.63    7.27
  51346  421699 20250606 95813    4.97   11.39   16.95   8.03 7.22      90   38.88    4154   29.84   16877    0.46      1.68    7.27
  51346  421699 20250606 95831    6.03   10.12   16.95   8.03 7.21      90   38.88    4154   29.85   16879    0.31      1.69    7.26
  51346  421699 20250606 95855    7.01    9.92   16.94   8.03 7.20      90   38.88    4154   29.85   16879    0.41      1.72    7.26
  51346  421699 20250606 95922    7.99    9.55   16.96   8.03 7.20      90   38.90    4155   29.85   16881    0.46      1.81    7.25
  51346  421699 20250606 95940    8.98    8.36   16.95   8.03 7.20      90   38.89    4155   29.85   16881    0.41      1.80    7.25
  51346  421699 20250606 100000    9.96    6.37   16.93   8.03 7.16      89   38.86    4154   29.85   16879    0.42      1.92    7.21
  51346  421699 20250606 100018   10.99    5.16   16.97   8.04 7.15      89   38.90    4155   29.85   16880    0.52      1.86    7.20
  51346  421699 20250606 100108   12.04    1.25   17.00   8.04 7.18      90   38.94    4156   29.86   16885    0.42      2.14    7.23
  51346  421699 20250606 100130   12.94    0.00   17.00   8.04 7.16      89   38.94    4156   29.86   16885    0.36      1.98    7.22
