# VTK  8 Delta
* 06-06-2025 10:11:29
#X: 50128 - Y: 420445
#00 DONARLOCATIE: GTS-22
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  50128  420445 20250606 101139    1.00   13.77   17.03   8.05 7.32      91   38.96    4154   29.85   16879    0.49      1.82    7.37
  50128  420445 20250606 101149    1.02   14.01   17.03   8.04 7.31      91   38.96    4155   29.85   16880    0.47      1.80    7.36
  50128  420445 20250606 101223    1.99   13.44   17.03   8.04 7.29      91   38.96    4155   29.85   16880    0.44      1.67    7.34
  50128  420445 20250606 101253    3.02   12.76   17.03   8.05 7.29      91   38.96    4155   29.85   16882    0.61      1.83    7.35
  50128  420445 20250606 101309    3.99   11.73   17.03   8.04 7.29      91   38.96    4155   29.85   16880    0.44      1.79    7.35
  50128  420445 20250606 101330    5.02   10.73   17.02   8.04 7.27      91   38.95    4155   29.85   16881    0.46      1.62    7.32
  50128  420445 20250606 101413    6.04    9.75   17.03   8.04 7.26      91   38.96    4155   29.85   16881    0.44      1.73    7.32
  50128  420445 20250606 101452    7.00    7.92   17.03   8.05 7.27      91   38.96    4155   29.85   16882    0.45      1.73    7.33
  50128  420445 20250606 101548    7.97    4.78   17.01   8.04 7.23      90   38.94    4155   29.85   16882    0.36      1.76    7.29
  50128  420445 20250606 101633    9.01    4.53   17.01   8.04 7.22      90   38.94    4155   29.85   16882    0.45      1.78    7.27
  50128  420445 20250606 101703    9.97    2.81   17.01   8.04 7.19      90   38.94    4155   29.85   16881    0.39      1.90    7.24
  50128  420445 20250606 101740   11.09    3.65   17.02   8.04 7.20      90   38.94    4155   29.85   16881    0.41      1.70    7.26
  50128  420445 20250606 101758   12.04    0.01   17.02   8.04 7.24      90   38.95    4155   29.86   16883    0.40      1.78    7.29
  50128  420445 20250606 101820   12.99    0.77   17.02   8.04 7.24      90   38.95    4155   29.85   16882    0.33      1.72    7.29
  50128  420445 20250606 101837   13.97    3.20   17.02   8.04 7.24      90   38.95    4155   29.85   16882    0.50      1.57    7.29
  50128  420445 20250606 101859   15.00    2.41   17.01   8.04 7.21      90   38.94    4155   29.86   16884    0.35      1.77    7.27
  50128  420445 20250606 101919   16.05    1.63   17.02   8.04 7.19      90   38.94    4155   29.85   16881    0.50      1.92    7.24
  50128  420445 20250606 101939   17.00    0.75   17.00   8.04 7.22      90   38.94    4155   29.86   16884    0.35      1.83    7.27
