# VTK  4 Delta
* 06-06-2025 09:02:25
#X: 56759 - Y: 421783
#00 DONARLOCATIE: GTS-26
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  56759  421784 20250606 90236    1.00    0.00   17.32   8.10 7.31      92   39.45    4181   30.06   16999    0.34      1.77    7.36
  56759  421784 20250606 90246    0.98    0.09   17.32   8.10 7.31      92   39.45    4181   30.06   16998    0.41      1.68    7.36
  56759  421784 20250606 90304    2.05   14.19   17.32   8.10 7.29      92   39.42    4177   30.03   16984    0.46      1.72    7.34
  56759  421784 20250606 90322    3.00    0.75   17.32   8.10 7.29      92   39.43    4179   30.04   16989    0.52      1.65    7.34
  56759  421784 20250606 90340    4.00   11.97   17.32   8.10 7.29      92   39.44    4179   30.04   16991    0.41      1.51    7.34
  56759  421784 20250606 90403    5.03   11.17   17.31   8.10 7.26      91   39.43    4180   30.05   16994    0.44      1.58    7.31
  56759  421784 20250606 90427    6.02   10.00   17.31   8.10 7.27      91   39.43    4180   30.05   16995    0.37      1.57    7.33
  56759  421784 20250606 90447    6.96    8.92   17.30   8.10 7.27      91   39.42    4180   30.05   16997    0.36      1.58    7.32
  56759  421784 20250606 90506    8.04    7.39   17.28   8.10 7.25      91   39.43    4181   30.06   17002    0.40      1.53    7.30
  56759  421784 20250606 90524    9.05    5.96   17.31   8.10 7.24      91   39.45    4182   30.07   17004    0.35      1.77    7.29
  56759  421784 20250606 90543   10.00    4.40   17.28   8.10 7.22      91   39.43    4181   30.06   17003    0.38      1.72    7.28
  56759  421784 20250606 90602   10.97    2.86   17.28   8.10 7.19      90   39.45    4184   30.09   17016    0.32      1.71    7.24
  56759  421784 20250606 90624   12.00    0.16   17.27   8.10 7.09      89   39.47    4187   30.11   17031    0.28      2.03    7.14
