# VERTIKAAL 4 M.C.ECOS 6 VERTIKAAL
* 10-01-2025 10:32:56
#X: 72570 - Y: 408770
#00 DONARLOCATIE: ZTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72570  408770 20250110 103256    0.91      --    4.96   8.30    0.90     129    0.73     299    1.28    1.53    0.45
  72570  408770 20250110 103309    1.99      --    4.96   8.30    0.91     130    0.74     301    1.31    1.49    0.49
  72570  408770 20250110 103314    2.91      --    4.97   8.30    0.91     131    0.74     303    1.30    1.51    0.41
  72570  408770 20250110 103320    4.03      --    4.98   8.30    0.92     131    0.74     305    1.26    1.43    0.48
  72570  408770 20250110 103324    4.90      --    4.98   8.30    0.92     132    0.75     308    1.25    1.46    0.31
  72570  408770 20250110 103330    5.99      --    4.99   8.30    0.93     134    0.76     313    1.24    1.49    0.32
  72570  408770 20250110 103335    6.94      --    4.99   8.30    0.93     134    0.76     314    1.20    1.38    0.38
  72570  408770 20250110 103341    8.03      --    4.99   8.30    0.94     135    0.76     316    1.20    1.34    0.34
  72570  408770 20250110 103346    8.92      --    4.99   8.30    0.94     135    0.76     317    1.21    1.28    0.34
  72570  408770 20250110 103352   10.02      --    4.99   8.30    0.95     136    0.77     321    1.17    1.41    0.38
  72570  408770 20250110 103356   11.05      --    5.03   8.29    0.98     140    0.79     334    1.09    1.38    0.27
