# VERTIKAAL 21 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 15:02:43
#X: 80201 - Y: 408125
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par20.dat
## TLU        oC <-->
## LUCHTDK    hPa <1006>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  80201  408125 20240402 150251    1.05   16.21   10.04   8.14 10.7      96    0.65      81    0.45     151    1.34    1.88    0.00
  80169  408126 20240402 150316    2.04   15.14   10.04   8.14 10.7      96    0.65      81    0.45     150    1.38    1.79    0.00
  80166  408138 20240402 150338    2.98   14.18   10.03   8.14 10.7      96    0.65      81    0.45     150    1.33    1.82    0.00
  80166  408142 20240402 150404    4.03   13.09   10.03   8.14 10.7      96    0.65      81    0.45     150    1.42    1.72    0.00
  80166  408147 20240402 150439    5.03   12.11   10.03   8.14 10.6      96    0.65      81    0.45     150    1.36    1.66    0.00
  80155  408148 20240402 150501    6.00   11.20   10.03   8.13 10.6      96    0.65      81    0.45     151    1.32    1.88    0.00
  80153  408146 20240402 150520    6.98   10.63   10.04   8.14 10.6      96    0.65      81    0.45     150    1.39    1.66    0.00
  80154  408149 20240402 150547    7.93    9.15   10.04   8.13 10.6      96    0.65      81    0.45     150    1.32    1.72    0.00
  80151  408154 20240402 150611    9.04    7.96   10.03   8.14 10.6      96    0.65      81    0.45     150    1.32    1.77    0.00
  80145  408152 20240402 150628   10.03    6.96   10.03   8.14 10.6      96    0.65      81    0.45     150    1.33    1.83    0.00
  80149  408142 20240402 150643   11.02    6.90   10.03   8.14 10.6      96    0.65      81    0.45     150    1.32    1.91    0.00
  80152  408122 20240402 150717   11.89    5.36   10.04   8.14 10.6      96    0.65      81    0.45     151    1.33    1.83    0.00
  80168  408113 20240402 150752   12.98    4.34   10.03   8.14 10.6      96    0.65      82    0.45     151    1.34    1.79    0.00
  80172  408117 20240402 150815   14.01    3.21   10.03   8.14 10.6      96    0.65      82    0.45     151    1.34    1.81    0.00
  80148  408106 20240402 150859   15.04    1.76   10.03   8.14 10.6      96    0.65      81    0.45     150    1.31    1.97    0.00
  80142  408102 20240402 150927   15.99    0.78   10.03   8.14 10.6      96    0.65      81    0.45     150    1.38    1.74    0.00
