# VERTIKAAL 15 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 12:05:09
#X: 71603 - Y: 392013
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par15.dat
## TLU        oC <-->
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71603  392013 20240402 120512    1.12   19.82    9.89   8.22 10.7      96    1.02     129    0.73     298    1.23    1.19    0.00
  71578  392022 20240402 120533    2.06   14.19    9.89   8.22 10.7      96    1.02     129    0.73     298    1.21    1.11    0.00
  71563  392030 20240402 120558    2.95   17.85    9.89   8.22 10.7      96    1.02     129    0.73     298    1.21    1.13    0.00
  71545  392036 20240402 120626    3.98   16.56    9.89   8.22 10.7      96    1.03     129    0.73     299    1.24    1.28    0.00
  71534  392040 20240402 120653    5.01   15.53    9.89   8.22 10.7      96    1.03     129    0.73     299    1.23    1.29    0.00
  71527  392047 20240402 120716    5.97   13.93    9.89   8.22 10.7      96    1.03     129    0.73     299    1.24    1.25    0.00
  71521  392073 20240402 120741    7.00   13.25    9.89   8.22 10.7      96    1.03     129    0.73     299    1.18    1.20    0.00
  71512  392076 20240402 120812    7.86   12.55    9.89   8.22 10.7      96    1.03     130    0.73     299    1.26    1.21    0.00
  71490  392081 20240402 120834    9.11   10.65    9.89   8.22 10.7      96    1.03     129    0.73     299    1.21    1.29    0.00
  71487  392072 20240402 120849    9.97    9.75    9.88   8.22 10.7      96    1.03     129    0.73     299    1.24    1.20    0.00
  71490  392058 20240402 120913   11.04    8.61    9.88   8.22 10.7      96    1.03     130    0.73     299    1.25    1.22    0.00
  71489  392056 20240402 120935   12.06    7.50    9.88   8.22 10.7      96    1.03     130    0.73     299    1.22    1.16    0.00
  71496  392064 20240402 121003   12.94    6.66    9.89   8.22 10.7      96    1.03     129    0.73     299    1.22    1.34    0.00
  71504  392072 20240402 121028   14.05    5.74    9.89   8.22 10.7      96    1.03     130    0.73     299    1.28    1.20    0.00
  71503  392077 20240402 121042   15.08    4.93    9.89   8.22 10.7      96    1.03     130    0.73     299    1.28    1.13    0.00
  71504  392077 20240402 121127   15.99    3.93    9.86   8.20 10.6      95    1.18     148    0.84     364    1.10    1.23    0.00
  71521  392072 20240402 121202   17.01    3.33    9.66   8.10 10.1      90    1.65     210    1.21     576    1.04    1.37    0.00
  71540  392055 20240402 121252   18.08    2.39    9.74   8.08 9.70      87    2.24     284    1.66     819    1.09    1.64    0.00
  71459  392054 20240402 121545   18.92    0.00    9.23   7.85 5.46      49    2.89     370    2.20    1121    2.15   27.58    0.00
