# VERTIKAAL 22 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 15:35:11
#X: 75753 - Y: 406428
#00 DONARLOCATIE: STEENBGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par20.dat
## TLU        oC <-->
## LUCHTDK    hPa <1006>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  75753  406428 20240402 153519    1.02    9.50    9.95   8.19 10.7      96    0.82     104    0.58     217    1.35    1.59    0.00
  75750  406423 20240402 153611    1.90    8.59    9.96   8.19 10.7      96    0.82     104    0.58     217    1.34    1.31    0.00
  75753  406424 20240402 153634    3.04    7.68    9.96   8.19 10.7      97    0.82     104    0.58     217    1.37    1.58    0.00
  75757  406429 20240402 153656    4.07    7.01    9.95   8.19 10.7      96    0.82     104    0.58     217    1.35    1.44    0.00
  75753  406434 20240402 153717    4.98    6.20    9.95   8.19 10.7      97    0.82     104    0.58     217    1.32    1.68    0.00
  75747  406435 20240402 153748    5.98    5.10    9.95   8.19 10.7      96    0.82     104    0.58     216    1.42    1.53    0.00
  75748  406433 20240402 153813    7.03    4.13    9.95   8.19 10.7      96    0.82     104    0.58     217    1.34    1.64    0.00
  75754  406437 20240402 153843    7.90    3.28    9.94   8.19 10.7      96    0.82     104    0.58     217    1.33    1.71    0.00
  75753  406445 20240402 153903    9.01    0.00    9.95   8.19 10.7      96    0.82     104    0.58     217    1.35    1.84    0.00
  75751  406458 20240402 153942    9.96    0.86    9.94   8.19 10.7      96    0.82     104    0.58     216    1.32    1.88    0.00
