# VERTIKAAL 18 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 13:39:06
#X: 77099 - Y: 406197
#00 DONARLOCATIE: ZTS-09
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par16.dat
## TLU        oC <-->
## LUCHTDK    hPa <1006>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  77099  406197 20240402 133906    0.98   13.80    9.91   8.19    0.80     100    0.56     206    1.31    1.27    0.00
  77111  406201 20240402 133915    1.88   12.68    9.92   8.19    0.80     100    0.56     206    1.30    1.40    0.00
  77114  406201 20240402 133918    2.91   11.61    9.91   8.19    0.79     100    0.56     205    1.27    1.42    0.00
  77116  406201 20240402 133920    3.89   10.85    9.90   8.19    0.79     100    0.56     205    1.34    1.39    0.00
  77118  406201 20240402 133923    4.93   10.40    9.90   8.19    0.80     100    0.56     206    1.31    1.48    0.00
  77122  406202 20240402 133926    5.98    9.18    9.90   8.19    0.80     101    0.56     207    1.32    1.31    0.00
  77124  406203 20240402 133928    6.90    7.96    9.90   8.19    0.80     101    0.56     207    1.31    1.47    0.00
  77125  406203 20240402 133930    7.93    6.95    9.89   8.19    0.80     101    0.56     208    1.28    1.25    0.00
  77126  406204 20240402 133932    8.94    6.03    9.88   8.19    0.81     102    0.57     210    1.33    1.44    0.00
  77127  406204 20240402 133934    9.90    4.94    9.86   8.19    0.81     103    0.57     214    1.30    1.51    0.00
  77128  406205 20240402 133937   10.97    3.88    9.82   8.19    0.82     104    0.58     218    1.31    1.55    0.00
  77129  406205 20240402 133939   11.95    3.34    9.81   8.19    0.83     105    0.59     222    1.28    1.57    0.00
  77130  406206 20240402 133942   12.89    1.90    9.78   8.19    0.85     108    0.60     229    1.24    1.98    0.00
  77132  406206 20240402 133946   13.94    0.75    9.77   8.20    0.86     109    0.61     233    1.27    2.18    0.00
