# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 03-02-2025 12:57:44
#X: 35010 - Y: 398040
#00 DONARLOCATIE: VTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1027>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  35010  398040 20250203 125752    1.06    4.59    4.54   8.17 11.0      99   23.09    3349   23.59   13303    0.41    1.30
  35010  398040 20250203 125832    2.02    3.80    4.41   8.16 11.0      98   23.02    3350   23.60   13307    0.42    1.27
  35010  398040 20250203 125858    2.98    3.00    4.63   8.16 10.9      98   23.19    3356   23.64   13332    0.55    1.22
  35010  398040 20250203 125925    4.05    1.90    4.79   8.15 10.8      98   23.36    3364   23.70   13368    0.52    1.31
  35010  398040 20250203 130013    4.95    1.06    5.54   8.08 10.2      94   24.89    3513   24.85   14028    0.39    1.19
