# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 05-09-2024 11:19:29
#X: 35446 - Y: 397451
#00 DONARLOCATIE: VTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  35446  397451 20240905 111946    1.08      --   21.03   8.02 8.02     106   40.35    3948   28.19   15906    3.32    1.05
  35448  397439 20240905 112037    2.09      --   21.02   8.01 7.95     106   40.33    3947   28.18   15902    3.06    1.09
  35445  397416 20240905 112116    3.03      --   21.01   7.99 7.82     104   40.31    3946   28.18   15898    2.24    0.95
  35445  397416 20240905 112136    3.97      --   21.00   7.99 7.82     104   40.30    3946   28.17   15897    2.29    1.03
  35444  397417 20240905 112150    4.99      --   21.00   7.98 7.79     103   40.29    3945   28.17   15895    2.06    1.03
  35439  397424 20240905 112254    5.95      --   20.84   7.89 5.13      68   40.38    3967   28.34   15994    0.70    0.89
  35432  397427 20240905 112341    6.96      --   20.60   7.71 4.58      61   41.00    4048   28.99   16369    0.47    0.68
  35419  397446 20240905 112422    7.95      --   20.50   7.68 4.25      56   41.02    4059   29.08   16420    1.08    0.60
  35418  397448 20240905 112449    9.00      --   20.48   7.68 4.19      55   41.04    4063   29.11   16437    0.49    0.58
  35416  397450 20240905 112515   10.06      --   20.45   7.68 4.12      54   41.05    4067   29.14   16454    0.56    0.43
