# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 01-05-2024 10:20:11
#X: 54050 - Y: 421125
#00 DONARLOCATIE: GTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  54050  421125 20240501 102019    1.05    1.05   13.26   8.35 11.0     125   32.72    3804   27.08   15293    0.47    0.64
  53995  421116 20240501 102103    1.97    1.97   13.23   8.36 11.1     126   32.71    3805   27.09   15301    0.89    1.25
  53972  421113 20240501 102146    3.01    3.01   13.14   8.36 11.2     128   32.66    3807   27.11   15310    0.66    0.47
  53962  421108 20240501 102210    3.88    3.88   12.94   8.35 11.2     127   32.56    3814   27.16   15342    1.19    0.52
  53951  421111 20240501 102250    4.94    4.93   12.17   8.38 11.6     130   32.02    3820   27.21   15374    1.57    0.56
  53937  421109 20240501 102406    6.01    6.02   12.07   8.34 11.1     123   31.96    3822   27.23   15384    2.55    0.47
  53934  421111 20240501 102437    6.96    6.96   12.04   8.33 10.9     121   31.95    3824   27.25   15393    1.53    0.55
  53934  421114 20240501 102551    8.05    8.04   11.53   8.29 10.2     112   31.64    3833   27.32   15436    2.24    0.49
  53933  421106 20240501 102644    8.95    8.95   11.38   8.28 10.0     110   31.63    3846   27.42   15494    1.86    0.65
  53933  421105 20240501 102733   10.00   10.01   10.98   8.22 9.28     101   31.46    3863   27.56   15575    1.29    0.56
  53931  421103 20240501 102753   11.07   11.06   10.90   8.22 9.24     100   31.45    3869   27.61   15604    1.00    0.61
  53931  421102 20240501 102812   11.97   11.97   10.96   8.23 9.25     100   31.76    3902   27.86   15752    1.94    0.66
  53932  421100 20240501 102841   13.06   13.08   11.00   8.23 9.08      99   32.01    3929   28.07   15873    3.86    0.74
  53934  421097 20240501 102937   14.03   14.02   10.96   8.22 8.76      95   32.02    3934   28.12   15897    1.68    0.78
