# VERTIKAAL 17 Roompot
* 21-08-2025 12:51:12
#X: 49748 - Y: 418263
#00 DONARLOCATIE: GTS-04
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT CHLFRFU    TROEBHFNU
  49748  418263 20250821 125122    -101   21.83   21.38   7.97 7.89     107   44.32    4306   31.05    1.57      1.23
  49748  418263 20250821 125137    -200   23.24   21.37   7.96 7.91     107   44.31    4306   31.05    1.63      1.28
  49748  418263 20250821 125152    -300   23.05   21.35   7.96 7.88     106   44.29    4306   31.05    1.92      1.34
  49748  418263 20250821 125207    -399   22.21   21.35   7.96 7.88     106   44.30    4306   31.05    1.97      1.32
  49748  418263 20250821 125222    -502   21.27   21.36   7.96 7.87     106   44.30    4305   31.05    1.71      1.39
  49748  418263 20250821 125237    -597   21.27   21.32   7.96 7.81     105   44.25    4305   31.04    1.73      1.37
  49748  418263 20250821 125252    -704   21.27   21.31   7.95 7.75     104   44.24    4304   31.04    1.52      1.36
  49748  418263 20250821 125308    -802   17.53   21.27   7.95 7.64     103   44.19    4303   31.03    1.61      1.35
  49748  418263 20250821 125331    -899   16.63   21.25   7.95 7.60     102   44.18    4303   31.03    1.31      1.60
  49748  418263 20250821 125355   -1000   16.83   21.24   7.94 7.53     101   44.16    4303   31.03    1.51      1.33
  49748  418263 20250821 125410   -1102   15.95   21.23   7.94 7.50     101   44.15    4303   31.03    1.68      1.32
  49748  418263 20250821 125427   -1203   15.95   21.21   7.94 7.42     100   44.13    4302   31.02    1.43      1.34
  49748  418263 20250821 125449   -1302   15.95   21.19   7.93 7.35      99   44.12    4303   31.03    1.18      1.37
  49748  418263 20250821 125519   -1401   13.23   21.05   7.88 6.80      91   44.02    4306   31.06    0.96      1.34
  49748  418263 20250821 125551   -1503   13.23   20.75   7.79 5.60      75   43.81    4312   31.10    0.66      1.37
  49748  418263 20250821 125651   -1599   10.46   20.32   7.69 4.32      57   43.47    4317   31.15    0.52      1.39
  49748  418263 20250821 125751   -1696    9.38   18.30   7.47 1.00      13   41.61    4316   31.14    0.13      5.12
  49748  418263 20250821 125826   -1805    8.12   16.95   7.46 0.36       4   40.24    4299   31.01    0.02      3.76
  49748  418263 20250821 125841   -1902    7.29   16.53   7.45 0.28       3   39.84    4296   30.99    0.05      2.44
  49748  418263 20250821 125856   -1999    6.50   15.86   7.45 0.23       3   39.22    4293   30.97    0.05      1.87
  49748  418263 20250821 125919   -2102    5.78   15.63   7.44 0.20       2   38.93    4285   30.90    0.08      1.68
  49748  418263 20250821 125938   -2203    5.10   15.43   7.44 0.18       2   38.74    4283   30.88    0.12      1.58
  49748  418263 20250821 125957   -2303    4.28   15.23   7.43 0.17       2   38.53    4279   30.85    0.01      1.35
  49748  418263 20250821 130015   -2404    3.60   15.01   7.43 0.15       2   38.32    4277   30.83    0.07      1.32
  49748  418263 20250821 130030   -2503    2.80   15.01   7.43 0.14       2   38.30    4275   30.82    0.09      1.28
  49748  418263 20250821 130045   -2598    1.83   14.94   7.43 0.13       2   38.23    4274   30.81    0.08      1.26
  49748  418263 20250821 130100   -2697    1.05   14.89   7.43 0.13       2   38.19    4274   30.81    0.07      1.24
