# VERTIKAAL 15 Roompot
* 21-08-2025 12:15:12
#X: 51648 - Y: 418623
#00 DONARLOCATIE: GTS-06
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT CHLFRFU    TROEBHFNU
  51648  418623 20250821 121522    -100   35.02   20.91   7.85 7.13      96   43.86    4302   31.03    0.64      0.77
  51648  418623 20250821 121539    -202   34.11   20.89   7.85 7.11      95   43.83    4302   31.02    0.73      0.85
  51648  418623 20250821 121554    -306   32.78   20.90   7.85 7.10      95   43.85    4302   31.02    0.98      0.80
  51648  418623 20250821 121610    -405   31.59   20.87   7.84 7.08      95   43.82    4302   31.02    0.78      0.88
  51648  418623 20250821 121625    -503   29.77   20.88   7.85 7.07      95   43.83    4302   31.03    0.77      0.91
  51648  418623 20250821 121646    -602   27.65   20.86   7.84 7.06      94   43.82    4303   31.03    0.69      0.77
  51648  418623 20250821 121703    -691   26.84   20.85   7.84 7.04      94   43.80    4302   31.03    0.89      0.89
  51648  418623 20250821 121719    -800   24.16   20.85   7.84 7.02      94   43.80    4303   31.03    0.78      0.78
  51648  418623 20250821 121733    -905   23.19   20.83   7.84 7.02      94   43.79    4303   31.03    0.63      0.78
  51648  418623 20250821 121751    -992   21.16   20.84   7.84 7.02      94   43.79    4302   31.03    0.71      0.80
  51648  418623 20250821 121810   -1103   17.28   20.84   7.84 7.02      94   43.79    4302   31.02    0.55      0.71
  51648  418623 20250821 121831   -1201   18.11   20.82   7.84 7.01      94   43.77    4303   31.03    0.56      0.73
  51648  418623 20250821 121905   -1295   22.87   20.82   7.84 7.02      94   43.78    4303   31.03    0.59      0.85
  51648  418623 20250821 121951   -1398   22.90   20.72   7.83 6.95      93   43.69    4303   31.04    0.43      0.71
  51648  418623 20250821 122036   -1501   21.26   20.36   7.78 6.25      83   43.39    4306   31.06    0.26      0.79
  51648  418623 20250821 122149   -1600   18.75   19.16   7.45 1.28      17   42.43    4320   31.18    0.20      1.10
  51648  418623 20250821 122232   -1698   17.07   17.90   7.39 0.35       4   41.20    4310   31.10    0.08      0.98
  51648  418623 20250821 122253   -1801   15.33   16.95   7.45 0.27       3   40.24    4300   31.02    0.07      1.19
  51648  418623 20250821 122322   -1902   13.39   16.18   7.47 0.22       3   39.48    4292   30.95    0.03      1.18
  51648  418623 20250821 122347   -2005   11.36   15.81   7.48 0.19       2   39.12    4287   30.92    0.02      1.16
  51648  418623 20250821 122407   -2096   10.06   15.54   7.48 0.17       2   38.84    4284   30.89    0.06      1.13
  51648  418623 20250821 122424   -2207    8.47   15.27   7.45 0.16       2   38.57    4280   30.86    0.11      1.07
  51648  418623 20250821 122453   -2302    6.65   15.15   7.46 0.15       2   38.44    4277   30.83    0.06      1.16
  51648  418623 20250821 122511   -2409    5.56   15.04   7.47 0.14       2   38.33    4276   30.83    0.04      1.06
  51648  418623 20250821 122533   -2504    5.09   14.93   7.46 0.13       2   38.22    4274   30.81    0.02      0.97
  51648  418623 20250821 122604   -2603    5.51   14.76   7.45 0.12       1   38.06    4272   30.80    0.07      0.91
  51648  418623 20250821 122622   -2710    4.94   14.66   7.45 0.12       1   37.95    4270   30.78    0.08      0.84
  51648  418623 20250821 122638   -2805    4.23   14.35   7.42 0.11       1   37.65    4268   30.76    0.05      0.78
  51648  418623 20250821 122654   -2901    3.51   14.33   7.42 0.11       1   37.63    4267   30.76    0.06      0.81
  51648  418623 20250821 122722   -3003    3.22   14.09   7.39 0.10       1   37.40    4265   30.74    0.10      0.92
  51648  418623 20250821 122740   -3098    2.64   14.05   7.39 0.09       1   37.36    4263   30.73    0.02      0.89
  51648  418623 20250821 122755   -3193    1.86   14.03   7.38 0.09       1   37.33    4263   30.73    0.07      0.90
  51648  418623 20250821 122815   -3307    0.99   14.02   7.39 0.09       1   37.32    4262   30.72    0.06      0.84
