# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 14-06-2022 07:22:07
#X: 33917 - Y: 398860
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): lamper
@ par1.dat
## TLU        oC <0.2>
## LUCHTDK    hPa <1024>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID
  33917  398860 20220614 72234    1.07   20.38   18.77   7.93 8.14     103   40.51    4159   29.88   16890    2.63    0.73
  33901  398878 20220614 72257    2.12    0.00   18.76   7.93 8.12     103   40.51    4159   29.88   16892    2.51    0.56
  33903  398879 20220614 72330    3.04   19.08   18.76   7.93 8.04     102   40.50    4159   29.88   16891    2.98    0.62
  33909  398886 20220614 72421    3.93   19.62   18.65   7.86 7.13      90   40.48    4167   29.95   16929    2.75    0.61
  33911  398888 20220614 72512    5.07   18.85   18.34   7.82 6.34      80   40.40    4187   30.10   17022    2.60    0.71
  33906  398900 20220614 72657    5.95   17.81   17.75   7.76 5.15      64   39.89    4188   30.11   17030    1.98    0.74
  33899  398911 20220614 72811    6.96    0.00   17.21   7.71 4.17      51   39.50    4195   30.18   17067    1.44    0.76
  33903  398916 20220614 72835    8.01   14.88   17.16   7.70 4.14      51   39.52    4203   30.23   17102    1.37    0.78
  33909  398921 20220614 72904    8.93   13.09   17.12   7.70 4.02      50   39.52    4206   30.26   17119    1.38    0.89
  33910  398930 20220614 72955   10.08   11.39   16.53   7.69 3.58      44   38.96    4202   30.23   17103    1.04    0.54
  33899  398938 20220614 73104   10.94   10.63   16.19   7.68 3.31      40   38.58    4192   30.16   17060    0.93    0.79
  33892  398941 20220614 73140   12.08    9.73   16.00   7.68 3.08      37   38.40    4190   30.14   17051    1.04    0.72
  33876  398943 20220614 73238   13.06    9.08   15.57   7.67 2.75      33   37.95    4183   30.08   17019    0.95    0.74
  33879  398917 20220614 73352   14.01    9.95   14.99   7.67 2.27      27   37.28    4164   29.93   16932    0.72    0.66
  33880  398911 20220614 73432   15.02    8.99   14.35   7.67 1.95      23   36.77    4168   29.96   16956    0.70    0.64
  33882  398905 20220614 73524   16.07    7.81   13.88   7.67 1.48      17   36.26    4154   29.86   16895    0.32    0.50
  33881  398904 20220614 73558   17.08    6.73   13.74   7.67 1.40      16   36.13    4153   29.85   16891    1.48    0.55
  33880  398902 20220614 73642   17.96    5.98   13.64   7.67 1.22      14   35.98    4147   29.80   16861    0.35    0.60
  33881  398901 20220614 73701   19.01    4.88   13.56   7.66 1.16      13   35.96    4151   29.83   16880    0.39    0.74
  33882  398899 20220614 73727   20.05    3.94   13.50   7.67 1.05      12   35.88    4148   29.81   16869    0.36    0.83
  33882  398898 20220614 73745   20.99    2.93   13.48   7.66 1.03      12   35.85    4147   29.80   16864    0.34    0.92
  33886  398901 20220614 73831   21.95    2.03   13.39   7.66 0.93      11   35.80    4149   29.82   16875    0.82    0.98
