X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.74794667;3.830118333;20250611;133113;-101;17.28;8.22;112.25;9.1;16860.29;-0.44;29.82;4150.79;0.81;1.25;39.14;0.31
51.74793667;3.830096667;20250611;133135;-199;17.33;8.22;112.3;9.1;16860.02;-0.43;29.82;4150.78;0.73;1.02;39.18;9.91
51.74792833;3.830098333;20250611;133152;-306;17.27;8.22;112.26;9.1;16871.51;-0.38;29.84;4153.2;0.85;1.5;39.15;9.58
51.74791833;3.830098333;20250611;133211;-413;17.23;8.22;111.86;9.08;16864.18;-0.51;29.82;4151.56;0.93;1.49;39.1;9.9
51.74790833;3.830101667;20250611;133231;-501;17.04;8.21;110.88;9.03;16851.72;-0.41;29.8;4148.65;0.8;1.97;38.91;8.78
51.74789667;3.830096667;20250611;133251;-607;17.03;8.21;111.03;9.04;16866.99;-0.47;29.83;4151.94;0.82;2.02;38.93;7.37
51.74788167;3.830088333;20250611;133319;-694;16.84;8.21;109.93;8.99;16880.4;-0.52;29.85;4154.62;0.85;1.94;38.79;6.25
51.74787;3.830073333;20250611;133339;-806;16.77;8.21;108.77;8.9;16881.92;-0.46;29.85;4154.87;1.39;2.04;38.73;5.27
51.74784667;3.830043333;20250611;133413;-897;16.5;8.2;107.07;8.81;16907.9;-0.44;29.9;4160.18;0.98;1.78;38.55;5
51.74783167;3.830015;20250611;133443;-1006;16.48;8.2;105.8;8.71;16922.6;-0.35;29.92;4163.34;1.02;2.94;38.56;4.13
51.74782167;3.830003333;20250611;133502;-1106;16.38;8.19;103.36;8.5;17168.7;-0.44;30.35;4216.39;2.02;1.99;38.97;3.01
51.74781667;3.829998333;20250611;133520;-1195;16.26;8.15;97.63;8.01;17602.91;-0.4;31.1;4309.72;3.16;2.71;39.72;1.82
51.74781833;3.830005;20250611;133536;-1295;16.25;8.15;95.09;7.8;17621.12;-0.44;31.13;4313.62;3.42;2.66;39.75;0.68
