X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.69048833;4.089263333;20250611;80709;-106;16.91;8.11;94.12;7.7;16628.41;-0.63;29.41;4100.1;0.64;0.86;38.34;12.87
51.69048667;4.089136667;20250611;80749;-203;16.88;8.11;93.83;7.68;16624.19;-0.52;29.41;4099.15;0.59;0.91;38.31;11.74
51.69046333;4.088693333;20250611;80944;-299;16.95;8.11;94.31;7.71;16636.08;-0.55;29.43;4101.81;0.71;1.02;38.39;10.9
51.690455;4.08858;20250611;81011;-409;17.02;8.12;94.67;7.73;16660.99;-0.45;29.47;4107.3;0.58;1.1;38.5;9.93
51.69045167;4.088498333;20250611;81030;-499;16.91;8.12;94.73;7.75;16629.68;-0.47;29.42;4100.37;0.64;1.12;38.34;0.37
51.69044667;4.088345;20250611;81107;-599;17.02;8.12;94.94;7.75;16674.46;-0.59;29.5;4110.22;0.63;0.63;38.53;8.46
51.69044333;4.088251667;20250611;81133;-696;16.99;8.05;86.6;7.07;16690.14;-0.5;29.52;4113.59;0.57;0.32;38.54;7.57
51.690445;4.088151667;20250611;81202;-798;16.96;8.05;83.21;6.8;16698.09;-0.56;29.54;4115.28;0.55;0.35;38.53;6.64
51.69043333;4.088108333;20250611;81222;-898;16.96;8.05;82.31;6.73;16703.87;-0.56;29.55;4116.53;0.58;0.22;38.54;5.53
51.69040667;4.088081667;20250611;81244;-1007;16.95;8.07;84.68;6.92;16708.14;-0.62;29.55;4117.44;0.81;0.38;38.54;4.11
51.69035167;4.088165;20250611;81328;-1109;16.97;8.05;82.04;6.7;16703.34;-0.65;29.54;4116.42;0.58;0.41;38.54;2.87
51.69031333;4.088273333;20250611;81406;-1206;16.85;8.14;92.51;7.57;16712.51;-0.54;29.56;4118.27;0.85;0.46;38.46;1.63
51.69027667;4.088383333;20250611;81441;-1301;16.86;8.13;93.81;7.68;16728.11;-0.49;29.59;4121.67;1.07;0.47;38.5;0.45
