X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.68416667;4.119955;20250611;73829;-92;16.5;8.24;105.75;8.78;15964.08;-0.36;28.26;3954.95;1.07;5.29;36.65;11.47
51.684155;4.11983;20250611;73904;-200;16.6;8.24;105.6;8.75;16023.89;-0.28;28.37;3968.12;0.95;3.89;36.85;0.56
51.68414667;4.119731667;20250611;73949;-302;16.83;8.16;99.97;8.22;16273.64;-0.4;28.8;4022.89;0.8;3.54;37.56;9.28
51.68414;4.119663333;20250611;74022;-407;16.96;8.13;97.57;7.99;16431.59;-0.34;29.07;4057.41;0.68;2.03;37.98;8.37
51.68414667;4.119603333;20250611;74047;-506;16.97;8.12;95.56;7.82;16460.23;-0.38;29.12;4063.64;0.7;1.59;38.05;7.37
51.68414333;4.119538333;20250611;74112;-611;16.94;8.13;95.56;7.83;16494.85;-0.44;29.18;4071.14;0.87;1.89;38.1;6.36
51.68413667;4.119421667;20250611;74202;-697;16.96;8.13;96.47;7.9;16505.17;-0.4;29.2;4073.41;0.82;2.01;38.14;5.5
51.68414667;4.119391667;20250611;74236;-809;17;8.13;97.17;7.95;16519.39;-0.4;29.23;4076.54;0.67;1.39;38.2;4.42
51.68414167;4.119378333;20250611;74258;-908;17;8.14;97.45;7.97;16571.36;-0.43;29.32;4087.82;0.82;1.74;38.3;3.47
51.68413167;4.119351667;20250611;74319;-1003;16.93;8.11;93.89;7.68;16605.54;-0.44;29.38;4095.16;0.47;0.87;38.31;2.46
51.68413;4.119333333;20250611;74341;-1108;16.98;8.11;91.11;7.44;16663.84;-0.63;29.48;4107.87;0.77;0.59;38.47;1.44
51.68413833;4.119316667;20250611;74404;-1202;17.01;8.11;92.95;7.59;16686.7;-0.53;29.52;4112.86;0.77;0.52;38.54;0.53
