X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.76207833;3.90907;20250611;113541;-103;16.77;8.13;96.99;7.95;16842.94;-0.36;29.79;4146.43;0.57;0.89;38.65;9.84
51.76202667;3.908956667;20250611;113608;-208;16.82;8.15;100.67;8.24;16853.54;-0.43;29.8;4148.79;0.72;1.45;38.72;8.8
51.76198;3.908845;20250611;113629;-306;16.91;8.14;99.51;8.13;16839.6;-0.46;29.78;4145.87;0.55;1.13;38.77;7.83
51.761945;3.908758333;20250611;113649;-397;16.8;8.16;99.64;8.16;16855.43;-0.35;29.81;4149.17;0.81;2.18;38.7;6.92
51.76194333;3.908731667;20250611;113707;-502;16.79;8.17;102.01;8.35;16854.19;-0.41;29.8;4148.89;0.75;2.28;38.7;5.9
51.76194;3.908678333;20250611;113729;-599;16.82;8.15;102.62;8.4;16848.96;-0.29;29.8;4147.79;0.66;1.62;38.71;0.33
51.76192833;3.908625;20250611;113751;-704;16.75;8.16;101.64;8.33;16871.06;-0.41;29.83;4152.49;0.77;1.78;38.69;4
51.76191833;3.908566667;20250611;113813;-796;16.74;8.16;101.37;8.31;16876.57;-0.41;29.84;4153.68;0.75;3.25;38.7;3.14
51.76191667;3.908503333;20250611;113834;-910;16.72;8.15;100.38;8.23;16885.42;-0.49;29.86;4155.56;0.88;1.39;38.69;2.02
51.76191333;3.908455;20250611;113851;-1013;16.58;8.15;98.37;8.08;16921.46;-0.47;29.92;4163.2;0.98;1.66;38.64;1.02
