X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.75823833;4.013388333;20250612;80131;-111;17.46;8.22;105.64;8.49;16853.91;-0.52;29.81;4149.62;0.71;0.84;39.28;10.78
51.75829167;4.01324;20250612;80156;-204;17.49;8.22;105.44;8.47;16853.88;-0.47;29.81;4149.65;0.74;0.89;39.31;9.8
51.758345;4.013148333;20250612;80213;-303;17.43;8.21;103.95;8.36;16861.27;-0.51;29.82;4151.17;0.78;1.04;39.27;8.8
51.758365;4.013088333;20250612;80235;-394;17.32;8.19;101.79;8.2;16862.71;-0.52;29.82;4151.36;0.81;1.18;39.18;7.76
51.75836833;4.013043333;20250612;80253;-495;16.79;8.11;94.4;7.68;16872.76;-0.53;29.84;4152.91;0.88;1.46;38.73;6.7
51.75837333;4.012986667;20250612;80313;-605;16.72;8.09;87.7;7.15;16869.04;-0.55;29.83;4152.02;0.9;1.08;38.66;5.63
51.75837833;4.012931667;20250612;80329;-707;16.67;8.08;85.82;7;16871.23;-0.41;29.83;4152.44;0.93;1.1;38.62;4.53
51.758395;4.012876667;20250612;80348;-809;16.65;8.07;83.73;6.83;16872.39;-0.47;29.84;4152.67;0.87;0.84;38.61;3.6
51.75842667;4.012818333;20250612;80415;-901;16.64;8.07;83.28;6.8;16873.24;-0.55;29.84;4152.84;0.91;0.96;38.6;2.68
51.75846333;4.012768333;20250612;80444;-1018;16.62;8.11;85.82;7.01;16890.57;-0.45;29.87;4156.57;0.77;0.84;38.62;1.42
51.75850667;4.01266;20250612;80525;-1102;16.5;8.02;76.65;6.27;16891.94;-0.5;29.87;4156.73;1.52;0.81;38.52;0.6
