# VERTIKAAL 16 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 13:01:10
#X: 74437 - Y: 387818
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par16.dat
## TLU        oC <-->
## LUCHTDK    hPa <999>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74437  387818 20240502 130118    1.05    1.08   14.37   8.17 10.1     101    1.21     137    0.77     324    1.21    1.48   -0.38
  74434  387811 20240502 130141    2.11    2.12   14.38   8.17 10.1     101    1.21     137    0.77     324    1.15    1.42   -0.46
  74428  387816 20240502 130207    2.93    2.93   14.35   8.17 10.1     101    1.21     137    0.77     324    1.16    1.38   -0.43
  74443  387833 20240502 130227    3.94    3.96   14.33   8.17 10.1     101    1.21     137    0.77     324    1.20    1.42   -0.48
  74437  387821 20240502 130251    4.99    4.98   14.31   8.17 10.1     101    1.21     137    0.77     324    1.18    1.37   -0.54
  74438  387810 20240502 130314    6.05    6.05   14.07   8.17 10.1     100    1.20     137    0.77     324    1.15    1.40   -0.55
  74439  387813 20240502 130339    7.06    7.07   13.94   8.15 10.0      99    1.20     137    0.77     324    1.19    1.59   -0.48
  74441  387818 20240502 130401    8.04    8.05   13.89   8.14 9.99      99    1.20     137    0.77     324    1.14    1.37   -0.54
  74442  387820 20240502 130420    9.08    9.02   13.60   8.13 9.95      98    1.19     137    0.77     325    1.02    1.53   -0.49
  74442  387821 20240502 130435    9.95    9.97   13.45   8.13 9.92      97    1.19     138    0.77     327    0.98    1.53   -0.53
  74441  387821 20240502 130450   10.90   10.91   13.02   8.12 9.91      96    1.19     139    0.78     330    1.00    1.91   -0.51
  74428  387826 20240502 130530   12.00   12.01   12.43   8.11 9.75      93    1.20     143    0.80     344    0.93    2.31   -0.46
  74425  387826 20240502 130548   13.00   13.02   12.42   8.10 9.72      93    1.20     143    0.80     344    0.97    1.89   -0.49
  74424  387824 20240502 130602   14.07   14.09   12.32   8.10 9.69      92    1.22     145    0.82     353    0.87    2.03   -0.47
  74430  387813 20240502 130703   15.02   15.05   11.78   8.06 9.08      86    1.45     175    1.00     456    0.91    2.57   -0.58
  74431  387813 20240502 130757   16.08   16.09   11.71   8.04 8.61      81    1.65     199    1.14     539    0.93    3.64   -0.53
  74430  387809 20240502 130855   17.11   17.13   11.73   8.03 8.34      79    1.80     217    1.25     603    1.52   16.65   -0.32
