X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,552685;3,664236667;20250623;123657;1,09;21,34;8,05;87,53;6,52;16501,5;-0,53;29,23;4077,99;1,34;2,06;41,94;10,22
51,55283333;3,663691667;20250623;123741;1,98;21,34;8,05;87,5;6,52;16500,27;-0,55;29,22;4077,73;1,25;2,01;41,94;1,28
51,55297;3,663523333;20250623;123820;2,97;21,34;8,05;87;6,48;16500,85;-0,52;29,22;4077,85;1,28;2,28;41,94;6,88
51,55303833;3,66352;20250623;123836;3,9;21,28;8,04;85,64;6,39;16506,31;-0,65;29,23;4078,96;1,16;2,02;41,9;6,76
51,553085;3,663528333;20250623;123901;4,97;20,74;7,97;72,49;5,46;16576,84;-0,65;29,35;4093,58;1,08;1,05;41,58;9,55
51,553115;3,663541667;20250623;123921;6,01;20,27;7,93;67,57;5,13;16651,04;-0,71;29,48;4109,09;1,43;0,69;41,33;7,52
51,55314167;3,663566667;20250623;123939;7,14;20,11;7,92;63,95;4,87;16667,08;-0,75;29,5;4112,36;1,32;0,56;41,22;6,02
51,55316167;3,663606667;20250623;123959;8,03;19,64;7,88;57,98;4,45;16726,65;-0,74;29,6;4124,68;1,2;0,68;40,93;4,11
51,55318667;3,663636667;20250623;124018;8,98;19,24;7,85;52,8;4,08;16749,11;-0,8;29,64;4129,06;1,34;0,64;40,63;2,66
51,55321333;3,663636667;20250623;124039;9,97;18,86;7,83;48,24;3,76;16722,25;-0,89;29,59;4122,78;1,51;0,5;40,23;1,82
51,553235;3,663613333;20250623;124055;10,97;18,4;7,8;41,75;3,28;16712,43;-0,77;29,57;4120,1;1,38;0,34;39,81;1,11
