X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,541215;3,731375;20250623;112658;1;21,78;8,02;84,99;6,28;16590,85;-0,83;29,38;4097,94;0,9;0,76;42,53;22,02
51,54110333;3,731493333;20250623;112826;2;21,75;8,02;84,64;6,26;16576,74;-0,86;29,36;4094,85;0,85;0,76;42,48;17,48
51,54107167;3,731376667;20250623;112905;3,01;21,75;8,03;84,85;6,27;16587,66;-0,73;29,38;4097,21;0,85;0,86;42,5;12,95
51,54109;3,731243333;20250623;112941;3,99;21,75;8,02;84,69;6,26;16595,72;-0,81;29,39;4098,96;0,85;0,77;42,52;18,88
51,54110833;3,731201667;20250623;113001;5,02;21,76;8,02;84,69;6,26;16598,83;-0,78;29,4;4099,64;0,93;0,85;42,53;17,92
51,54119833;3,731278333;20250623;113149;6,06;21,81;8,04;85,82;6,33;16666,18;-0,78;29,51;4114,31;0,82;1,21;42,73;17,42
51,54124;3,73154;20250623;113252;6,95;21,8;8,03;85,56;6,32;16625,62;-0,69;29,44;4105,5;0,98;0,86;42,63;0
51,54118667;3,731418333;20250623;113329;8,1;21,85;8,04;85,79;6,32;16675,81;-0,87;29,53;4116,44;0,91;0,83;42,79;15,16
51,54113167;3,73128;20250623;113353;9,09;21,81;8,04;85,51;6,31;16707,91;-0,84;29,59;4123,35;1,04;0,79;42,83;14,01
51,54103333;3,731136667;20250623;113427;10,06;21,67;8,03;83,84;6,19;16763,07;-0,84;29,68;4135,11;0,93;0,84;42,83;12,19
51,54101833;3,731101667;20250623;113447;11,07;21,02;7,98;75,45;5,63;16986,67;-0,85;30,06;4182,63;1,06;0,5;42,73;1,12
51,540995;3,731081667;20250623;113512;12,08;20,91;7,97;72,28;5,4;17012,43;-0,9;30,11;4188,05;1,22;1,03;42,69;0
51,541;3,731036667;20250623;113533;13,12;20,62;7,95;69,84;5,25;17033,35;-0,78;30,14;4192,22;1,17;0,83;42,48;0
51,54106667;3,730926667;20250623;113551;13,96;20,44;7,94;67,97;5,12;17031,29;-0,92;30,14;4191,55;1,27;0,6;42,31;0
51,54111333;3,73088;20250623;113624;15;19,29;7,9;62,98;4,85;17053,72;-0,84;30,17;4194,98;0,97;0,13;41,32;0
51,54113333;3,730865;20250623;113643;16,36;19,14;7,9;61,35;4,74;17059,26;-0,77;30,18;4196;0,98;0,26;41,2;5,69
51,54115333;3,730876667;20250623;113705;16,09;19,15;7,9;60,73;4,69;17047,1;-0,81;30,15;4193,39;0,96;0,08;41,18;6,05
51,54117;3,730903333;20250623;113722;17,16;19,09;7,9;60,32;4,66;17051,95;-0,77;30,16;4194,36;1,1;0,07;41,13;2,82
51,541185;3,730948333;20250623;113740;18,02;19,03;7,89;59,42;4,6;17053,07;-0,78;30,16;4194,54;1,03;0,07;41,09;0
51,541195;3,730998333;20250623;113758;19,06;19;7,89;58,33;4,52;17048,35;-0,86;30,16;4193,47;0,97;0,09;41,04;4,19
51,54122333;3,731065;20250623;113823;20,05;18,95;7,88;56,85;4,4;17044,08;-0,7;30,15;4192,49;1,1;0,33;40,99;3,36
51,54124833;3,731063333;20250623;113845;21,1;18,93;7,88;55,93;4,33;17043,28;-0,78;30,15;4192,3;0,98;0,04;40,98;0
51,54128167;3,731041667;20250623;113908;21,91;18,92;7,88;55,24;4,28;17042,36;-0,77;30,14;4192,09;1;0,13;40,97;1,12
