X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.56590833;3.640329638;20250707;111400;1.01;20.88;7.91;79.17;5.91;16701.32;-1.05;29.57;4120.74;1.5;1.24;41.98;-999
51.56590833;3.640329638;20250707;111439;1.97;20.9;7.92;78.62;5.86;16704.29;-0.93;29.57;4121.41;1.5;1.44;42;-999
51.56590833;3.640329638;20250707;111510;3.06;20.89;7.91;78.6;5.86;16704.55;-1.01;29.57;4121.46;1.37;1.41;42;-999
51.56590833;3.640329638;20250707;111526;4.04;20.89;7.91;78.29;5.84;16701.1;-1.01;29.57;4120.7;1.45;1.2;41.98;-999
51.56590833;3.640329638;20250707;111546;4.98;20.88;7.91;78.13;5.83;16704.26;-0.95;29.57;4121.38;1.68;1.47;41.98;-999
51.56590833;3.640329638;20250707;111611;6.02;20.88;7.91;77.96;5.82;16703.71;-1.09;29.57;4121.25;1.35;1.46;41.98;-999
51.56590833;3.640329638;20250707;111629;6.91;20.87;7.91;77.83;5.81;16702.15;-0.93;29.57;4120.91;1.47;1.5;41.97;-999
51.56590833;3.640329638;20250707;111653;7.94;20.89;7.91;78;5.82;16704.8;-1.04;29.57;4121.51;1.28;1.71;41.99;-999
51.56590833;3.640329638;20250707;111713;8.96;20.89;7.91;77.85;5.81;16703.35;-0.99;29.57;4121.19;1.55;1.43;41.99;-999
51.56590833;3.640329638;20250707;111733;10.01;20.9;7.91;78.17;5.83;16706.05;-1.01;29.58;4121.79;1.45;1.46;42;-999
51.56590833;3.640329638;20250707;111756;11.01;20.9;7.91;78.22;5.83;16705.04;-0.98;29.58;4121.58;1.41;1.31;42.01;-999
51.56590833;3.640329638;20250707;111819;11.98;20.88;7.91;77.78;5.8;16704.41;-1.06;29.57;4121.41;1.52;1.25;41.99;-999
51.56590833;3.640329638;20250707;111838;13.06;20.87;7.91;77.32;5.77;16703.36;-1;29.57;4121.17;1.55;1.25;41.97;-999
51.56590833;3.640329638;20250707;111916;14.03;20.87;7.91;77.44;5.78;16701;-1.03;29.57;4120.65;1.46;1.47;41.97;-999
51.56590833;3.640329638;20250707;111937;14.95;20.83;7.91;77.29;5.77;16704.4;-1.12;29.57;4121.35;1.3;1.22;41.94;-999
51.56590833;3.640329638;20250707;112004;15.89;20.71;7.89;75.02;5.62;16693.12;-1.04;29.55;4118.75;1.49;0.97;41.81;-999
51.56590833;3.640329638;20250707;112030;16.99;19.64;7.75;62.41;4.77;16618.18;-1.12;29.42;4101.18;1.16;0.27;40.7;-999
51.56590833;3.640329638;20250707;112057;17.98;18.88;7.64;33.01;2.56;16566.44;-1.13;29.32;4089.03;1.04;0.09;39.93;-999
51.56590833;3.640329638;20250707;112133;19.14;18.44;7.61;20.91;1.64;16543.68;-1.06;29.28;4083.54;1.1;0.11;39.49;-999
51.56590833;3.640329638;20250707;112156;20.05;18.23;7.61;17.52;1.38;16542.62;-1.11;29.27;4083.06;0.93;0.11;39.31;-999
51.56590833;3.640329638;20250707;112214;20.95;18.15;7.61;14.87;1.17;16539.41;-1.14;29.27;4082.26;1.1;0.07;39.23;-999
51.56590833;3.640329638;20250707;112236;22.01;18.07;7.61;12.89;1.02;16537.58;-1.2;29.27;4081.77;1.21;0.14;39.15;-999
51.56590833;3.640329638;20250707;112258;23.06;17.95;7.61;9.49;0.75;16540.69;-1.1;29.27;4082.3;1.41;0.13;39.06;-999
