# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 27-05-2024 08:54:21
#X: 49193 - Y: 395871
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: vts-17
#23 EINDPUNT: vts-01
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  49193  395871 20240527 85504    1.04    1.06   16.99   8.15 9.57     112   28.28    3019   20.97   11779    3.28    1.99
  49217  395861 20240527 85522    1.93    1.95   16.99   8.16 9.57     112   28.22    3012   20.92   11751    3.26    2.15
  49222  395864 20240527 85553    2.98    2.99   17.24   8.20 9.50     112   29.20    3100   21.58   12131    2.96    1.65
  49223  395854 20240527 85657    3.98    3.99   16.78   8.13 8.19      98   33.49    3592   25.40   14318    1.73    2.68
  49223  395854 20240527 85719    4.95    4.96   16.68   8.13 8.11      97   34.28    3685   26.11   14735    1.50    3.15
  49223  395851 20240527 85807    6.00    6.01   16.63   8.14 7.86      95   35.23    3792   26.97   15220    1.45    3.39
  49219  395856 20240527 85907    7.03    7.04   16.66   8.14 7.56      91   35.42    3808   27.10   15295    1.52    2.85
  49221  395858 20240527 85931    8.03    8.06   16.66   8.14 7.48      90   35.57    3824   27.22   15367    1.52    3.55
  49223  395859 20240527 90001    9.07    9.08   16.63   8.15 7.59      92   35.63    3835   27.31   15415    1.83    5.01
  49218  395859 20240527 90044   10.06   10.06   16.66   8.14 7.36      89   35.76    3845   27.39   15463    1.41    4.28
