# VERTIKAAL 19 M.C.ECOS 8 VERTIKAAL
* 12-09-2024 12:25:02
#X: 33818 - Y: 400884
#00 DONARLOCATIE: VTS-101
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  33818  400884 20240912 122510    1.09      --   19.08   7.76 6.21      79   38.68    3945   28.18   15906    0.66    0.36
  33865  400898 20240912 122536    2.04      --   19.07   7.76 6.21      79   38.68    3945   28.17   15904    0.57    0.36
  33871  400899 20240912 122550    3.07      --   19.06   7.76 6.21      79   38.68    3946   28.18   15908    0.56    0.34
  33873  400898 20240912 122612    4.01      --   19.06   7.76 6.20      79   38.67    3946   28.18   15907    0.64    0.35
  33872  400899 20240912 122625    5.12      --   19.07   7.77 6.20      79   38.67    3945   28.18   15907    0.59    0.35
  33872  400899 20240912 122639    6.02      --   19.06   7.76 6.19      79   38.67    3945   28.18   15906    0.53    0.35
  33872  400898 20240912 122652    7.04      --   19.07   7.76 6.19      79   38.67    3945   28.18   15906    0.51    0.30
  33873  400897 20240912 122710    8.06      --   19.06   7.77 6.19      79   38.67    3945   28.18   15907    0.52    0.32
  33874  400895 20240912 122727    9.00      --   19.07   7.76 6.18      79   38.67    3945   28.17   15905    0.57    0.34
  33874  400893 20240912 122739   10.08      --   19.06   7.77 6.18      79   38.67    3946   28.18   15907    0.66    0.36
  33876  400891 20240912 122755   11.00      --   19.07   7.76 6.18      79   38.67    3945   28.18   15907    0.68    0.30
