# VERTIKAAL 6 Delta
* 22-07-2025 09:30:04
#X: 53468 - Y: 423735
#00 DONARLOCATIE: GTS-24
#08 WAARNEMER(S): beukers
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T   O2     %O2   GELBH  GELDHD  SALNTT CHLFRFU    TROEBHFNU
  53467  423735 20250722 93022    1.05      --   21.63 6.57      90   43.79    4232   30.46    1.24      1.19
  53467  423735 20250722 93041    2.19      --   21.63 6.54      90   43.79    4232   30.46    1.13      1.10
  53467  423735 20250722 93056    3.04      --   21.63 6.52      90   43.79    4232   30.46    0.98      1.14
  53467  423735 20250722 93117    4.05      --   21.63 6.49      89   43.80    4233   30.46    0.97      1.06
  53467  423735 20250722 93131    4.97      --   21.63 6.48      89   43.80    4233   30.47    0.81      1.09
  53467  423735 20250722 93150    6.14      --   21.62 6.36      87   43.79    4233   30.47    0.78      0.96
  53467  423735 20250722 93204    7.22      --   21.62 6.31      87   43.79    4233   30.47    0.75      1.07
  53467  423735 20250722 93218    8.31      --   21.62 6.40      88   43.79    4233   30.47    0.90      1.02
  53467  423735 20250722 93232    9.27      --   21.60 6.41      88   43.79    4235   30.48    0.79      0.91
  53467  423735 20250722 93247   10.35      --   21.52 6.37      87   43.77    4240   30.53    0.54      1.10
  53467  423735 20250722 93337   11.02      --   21.27 5.72      78   43.60    4246   30.57    0.36      1.15
  53467  423735 20250722 93410   12.15      --   21.12 5.36      73   43.48    4247   30.58    0.23      1.26
  53467  423735 20250722 93436   13.31      --   21.04 5.19      71   43.42    4249   30.59    0.28      1.37
