# VERTIKAAL 3 Delta
* 22-07-2025 08:28:05
#X: 60113 - Y: 419704
#00 DONARLOCATIE: GTS-27
#08 WAARNEMER(S): beukers
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T   O2     %O2   GELBH  GELDHD  SALNTT CHLFRFU    TROEBHFNU
  60113  419707 20250722 82822    1.13      --   21.29 6.07      83   43.22    4206   30.25    0.90      0.91
  60113  419707 20250722 82847    2.06      --   21.29 6.05      82   43.22    4207   30.25    0.73      0.87
  60113  419707 20250722 82901    3.09      --   21.30 6.03      82   43.23    4207   30.26    0.72      0.84
  60113  419707 20250722 82915    4.15      --   21.31 6.02      82   43.24    4208   30.26    0.76      0.88
  60113  419707 20250722 82946    5.28      --   21.31 5.51      75   43.30    4213   30.31    0.62      0.95
  60113  419707 20250722 83008    5.91      --   21.31 5.47      75   43.31    4214   30.31    0.56      0.83
  60113  419707 20250722 83045    7.06      --   21.27 5.19      71   43.36    4222   30.38    0.60      1.08
  60113  419707 20250722 83125    8.19      --   21.18 4.86      66   43.30    4224   30.40    0.55      1.19
  60113  419707 20250722 83221    9.02      --   20.84 3.90      53   42.99    4224   30.40    0.41      1.49
  60113  419707 20250722 83326   10.13      --   20.39 0.35       5   42.81    4245   30.57    0.16      7.82
