# VERTIKAAL 7 Delta
* 22-07-2025 09:48:57
#X: 51434 - Y: 421752
#00 DONARLOCATIE: GTS-23
#08 WAARNEMER(S): beukers
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T   O2     %O2   GELBH  GELDHD  SALNTT CHLFRFU    TROEBHFNU
  51434  421752 20250722 94915    1.13      --   21.47 6.32      87   43.70    4238   30.50    0.67      0.89
  51434  421752 20250722 94943    2.10      --   21.47 6.32      86   43.71    4238   30.51    0.70      0.93
  51434  421752 20250722 95020    3.02      --   21.47 6.33      87   43.71    4238   30.51    0.73      0.94
  51434  421752 20250722 95042    4.05      --   21.47 6.30      86   43.71    4238   30.51    0.64      0.91
  51434  421752 20250722 95057    5.08      --   21.47 6.28      86   43.71    4238   30.51    0.63      0.87
  51434  421752 20250722 95112    6.01      --   21.47 6.27      86   43.71    4239   30.51    0.71      1.05
  51434  421752 20250722 95127    7.05      --   21.47 6.27      86   43.72    4239   30.52    0.60      0.86
  51434  421752 20250722 95144    8.11      --   21.46 6.24      85   43.72    4239   30.52    0.57      0.90
  51434  421752 20250722 95159    9.08      --   21.46 6.22      85   43.71    4240   30.52    0.64      0.82
  51434  421752 20250722 95219   10.23      --   21.44 6.12      84   43.70    4240   30.52    0.45      1.10
  51434  421752 20250722 95234   11.43      --   21.43 6.04      83   43.69    4241   30.53    0.39      1.01
  51434  421752 20250722 95258   12.28      --   21.42 5.97      82   43.68    4240   30.52    0.38      1.05
  51434  421752 20250722 95328   13.40      --   21.29 5.69      78   43.57    4241   30.53    0.33      1.14
  51434  421752 20250722 95400   13.55      --   21.16 5.39      73   43.44    4240   30.52    0.26      1.46
