# VTK  19 Delta
* 03-06-2025 14:17:51
#X: 47910 - Y: 418275
#00 DONARLOCATIE: GTS-02
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  47910  418275 20250603 141801    0.97    1.55   16.77   8.21 9.38     116   38.92    4175   30.01   16975    1.11      1.75    9.37
  47910  418275 20250603 141811    1.05   15.85   16.76   8.21 9.38     116   38.91    4175   30.01   16974    1.61      1.66    9.37
  47910  418275 20250603 141829    2.04    0.90   16.79   8.21 9.38     116   38.92    4174   30.01   16971    1.48      1.65    9.36
  47910  418275 20250603 141849    2.99   13.27   16.75   8.21 9.38     116   38.88    4173   30.00   16967    1.92      1.77    9.36
  47910  418275 20250603 141907    4.02   12.09   16.72   8.21 9.35     115   38.87    4173   30.00   16969    1.84      1.70    9.34
  47910  418275 20250603 141945    4.98   10.81   16.46   8.16 8.84     109   39.00    4212   30.31   17150    1.41      2.18    8.83
  47910  418275 20250603 142002    6.06    9.82   16.54   8.16 8.85     109   39.19    4225   30.42   17209    1.38      2.54    8.83
  47910  418275 20250603 142028    7.05    8.40   16.46   8.17 8.81     108   39.01    4214   30.32   17156    1.30      2.08    8.79
  47910  418275 20250603 142105    7.98    7.49   16.44   8.12 8.32     102   39.31    4248   30.60   17315    1.10      2.94    8.30
  47910  418275 20250603 142134    8.97    6.77   16.37   8.10 8.04      99   39.40    4264   30.72   17389    0.77      2.62    8.02
  47910  418275 20250603 142207    9.96    6.16   16.03   8.06 7.52      92   39.22    4278   30.84   17457    0.63      2.54    7.51
  47910  418275 20250603 142236   11.02    5.46   15.80   8.05 7.23      88   38.98    4274   30.81   17440    0.55      2.34    7.21
  47910  418275 20250603 142308   11.99    4.93   15.37   8.02 6.77      82   38.56    4269   30.77   17418    0.58      2.10    6.76
  47910  418275 20250603 142339   12.97    3.97   15.08   8.00 6.44      77   38.23    4260   30.70   17380    0.61      2.09    6.43
  47910  418275 20250603 142402   13.93    3.05   14.73   7.99 6.28      75   37.95    4264   30.73   17397    0.40      2.18    6.27
  47910  418275 20250603 142443   15.00    2.29   14.39   7.96 5.79      68   37.52    4248   30.60   17326    0.39      2.48    5.78
  47910  418275 20250603 142552   16.03    0.00   13.32   7.88 4.39      51   36.51    4238   30.53   17287    0.30      4.24    4.38
