# VTK  11 Delta
* 03-06-2025 11:33:57
#X: 56228 - Y: 420401
#00 DONARLOCATIE: GTS-10
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  56227  420401 20250603 113410    0.98    0.00   17.04   8.13 8.22     102   38.94    4153   29.83   16871    0.57      1.53    8.20
  56227  420401 20250603 113420    0.99   12.70   17.04   8.13 8.22     102   38.95    4153   29.83   16871    0.46      1.49    8.20
  56227  420401 20250603 113444    2.00   11.80   17.03   8.13 8.22     102   38.94    4153   29.84   16873    0.78      1.46    8.21
  56227  420401 20250603 113502    2.98   11.05   17.05   8.13 8.23     102   38.95    4153   29.83   16870    0.77      1.33    8.21
  56227  420401 20250603 113521    4.06    9.96   17.01   8.13 8.22     102   38.92    4153   29.84   16873    0.87      1.43    8.20
  56227  420401 20250603 113543    5.03    8.88   16.96   8.13 8.20     101   38.89    4154   29.84   16876    0.83      1.51    8.19
  56227  420401 20250603 113606    6.01    7.93   16.93   8.12 8.11     100   38.85    4153   29.84   16873    0.80      1.38    8.10
  56227  420401 20250603 113632    6.98    7.13   16.92   8.12 7.97      98   38.84    4152   29.83   16870    0.66      1.41    7.96
  56227  420401 20250603 113706    8.08    6.29   16.86   8.11 7.95      98   38.79    4153   29.83   16872    0.71      1.40    7.94
  56227  420401 20250603 113729    9.00    5.42   16.82   8.11 7.88      97   38.76    4153   29.84   16875    0.56      1.38    7.86
  56227  420401 20250603 113758    9.99    4.51   16.70   8.09 7.61      94   38.67    4155   29.85   16884    0.52      1.35    7.60
  56227  420401 20250603 113847   10.95    3.03   16.26   8.04 6.59      80   38.32    4158   29.88   16902    0.27      1.56    6.58
  56227  420401 20250603 113908   12.06    1.95   16.26   8.04 6.54      80   38.33    4158   29.88   16902    0.30      1.53    6.53
  56227  420401 20250603 113927   12.99    1.05   16.26   8.04 6.53      80   38.33    4159   29.88   16903    0.27      1.56    6.52
