# VTK  6 Delta
* 03-06-2025 09:36:25
#X: 62247 - Y: 412174
#00 DONARLOCATIE: GTS-15
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  62247  412174 20250603 93635    1.01   16.93   17.86   8.13 8.18     103   39.71    4158   29.87   16890    0.99      1.54    8.16
  62247  412174 20250603 93645    0.99   16.94   17.87   8.12 8.17     103   39.72    4158   29.87   16891    0.84      1.47    8.16
  62247  412174 20250603 93704    2.05   16.06   17.86   8.13 8.17     103   39.71    4158   29.87   16891    1.16      1.56    8.15
  62247  412174 20250603 93720    3.00   15.25   17.87   8.13 8.17     103   39.72    4158   29.88   16893    1.09      1.59    8.15
  62247  412174 20250603 93736    4.03   14.14   17.86   8.13 8.16     103   39.71    4158   29.88   16893    1.25      1.62    8.15
  62247  412174 20250603 93848    5.04    0.01   17.87   8.13 8.17     103   39.72    4159   29.88   16894    1.00      1.38    8.16
  62247  412174 20250603 94014    6.03   11.74   17.85   8.13 8.18     103   39.71    4159   29.88   16896    0.95      1.53    8.16
  62247  412174 20250603 94055    7.02   10.64   17.82   8.12 8.02     101   39.68    4159   29.88   16896    0.73      1.43    8.01
  62247  412174 20250603 94114    7.99    9.65   17.80   8.12 7.95     100   39.67    4160   29.89   16901    0.45      1.35    7.93
  62247  412174 20250603 94131    8.99    8.74   17.80   8.12 7.86      99   39.68    4161   29.90   16904    0.41      1.31    7.84
  62247  412174 20250603 94147   10.03    7.76   17.75   8.11 7.82      98   39.64    4161   29.90   16906    0.52      1.41    7.81
  62247  412174 20250603 94204   11.05    6.79   17.76   8.12 7.78      98   39.63    4160   29.89   16901    0.59      1.39    7.76
  62247  412174 20250603 94227   11.99    5.76   17.66   8.09 7.70      96   39.53    4158   29.87   16891    0.62      1.55    7.69
  62247  412174 20250603 94302   13.02    4.91   17.55   8.07 7.40      92   39.43    4158   29.87   16892    0.49      1.47    7.38
  62247  412174 20250603 94318   13.98    4.08   17.53   8.07 7.33      92   39.41    4157   29.87   16890    0.48      1.48    7.32
  62247  412174 20250603 94351   15.04    3.07   17.32   8.05 6.98      87   39.23    4156   29.86   16887    0.35      1.68    6.97
  62247  412174 20250603 94413   16.02    1.99   16.92   8.05 6.94      86   38.90    4159   29.88   16901    0.57      1.73    6.93
  62247  412174 20250603 94430   16.98    1.24   16.83   8.05 6.96      86   38.82    4159   29.89   16901    0.30      1.64    6.95
