# VTK  13 Delta
* 03-06-2025 12:06:46
#X: 53626 - Y: 420979
#00 DONARLOCATIE: GTS-08
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  53626  420979 20250603 120659    0.96    0.79   16.67   8.10 7.94      98   38.62    4151   29.82   16866    0.84      1.34    7.92
  53626  420979 20250603 120709    1.00   16.32   16.66   8.10 7.93      97   38.61    4152   29.83   16868    0.65      1.36    7.92
  53626  420979 20250603 120726    2.08    0.75   16.69   8.10 7.94      98   38.63    4152   29.83   16868    0.76      1.42    7.93
  53626  420979 20250603 120748    3.03    0.69   16.67   8.11 7.96      98   38.61    4151   29.82   16866    0.84      1.46    7.94
  53626  420979 20250603 120824    4.04   13.62   16.67   8.11 7.97      98   38.61    4151   29.82   16866    0.86      1.37    7.95
  53626  420979 20250603 120841    4.97   12.85   16.67   8.11 7.96      98   38.61    4151   29.82   16865    0.73      1.35    7.95
  53626  420979 20250603 120858    6.04   11.73   16.68   8.11 7.98      98   38.62    4152   29.83   16868    0.72      1.38    7.97
  53626  420979 20250603 120916    6.99   10.82   16.68   8.11 7.99      98   38.62    4151   29.82   16867    0.69      1.37    7.97
  53626  420979 20250603 120933    7.98    9.86   16.65   8.10 7.95      98   38.60    4152   29.83   16869    0.81      1.33    7.94
  53626  420979 20250603 120951    9.04    8.84   16.65   8.10 7.90      97   38.60    4152   29.83   16868    0.69      1.47    7.89
  53626  420979 20250603 121008    9.95    7.90   16.65   8.10 7.90      97   38.60    4151   29.82   16866    0.73      1.40    7.89
  53626  420979 20250603 121028   11.00    6.81   16.64   8.10 7.87      97   38.60    4152   29.83   16871    0.70      1.46    7.86
  53626  420979 20250603 121049   12.03    5.70   16.62   8.10 7.84      96   38.59    4153   29.84   16874    0.64      1.36    7.83
  53626  420979 20250603 121130   13.01    4.66   16.48   8.08 7.30      89   38.45    4152   29.83   16870    0.37      1.45    7.29
  53626  420979 20250603 121212   13.99    3.50   16.37   8.07 7.10      87   38.40    4156   29.86   16889    0.30      1.40    7.09
  53626  420979 20250603 121245   15.02    1.70   16.11   8.04 6.83      83   38.21    4160   29.89   16909    0.32      1.54    6.82
  53626  420979 20250603 121307   16.05    0.84   16.06   8.03 6.74      82   38.18    4162   29.91   16918    0.46      1.58    6.73
