# VTK  2 Delta
* 03-06-2025 08:13:28
#X: 68769 - Y: 411193
#00 DONARLOCATIE: GTS-19
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  68768  411193 20250603 81338    0.98    0.00   17.56   8.14 8.68     108   38.34    4042   28.95   16356    2.14      1.79    8.67
  68768  411193 20250603 81348    1.03    0.00   17.57   8.13 8.58     107   38.42    4049   29.01   16392    2.37      1.85    8.57
  68768  411193 20250603 81423    2.08    0.41   17.55   8.15 8.65     108   38.27    4035   28.89   16325    1.79      1.80    8.64
  68768  411193 20250603 81526    3.00    5.64   17.90   8.11 8.42     106   39.10    4091   29.34   16580    1.69      1.79    8.41
  68768  411193 20250603 81605    3.98    6.31   18.09   8.08 7.99     101   39.65    4131   29.66   16766    1.29      1.70    7.97
  68768  411193 20250603 81653    5.01    7.29   17.88   8.05 7.45      94   39.57    4142   29.74   16815    0.76      1.48    7.44
  68768  411193 20250603 81719    6.04    7.99   17.82   8.04 7.25      91   39.53    4143   29.76   16824    0.60      1.57    7.24
  68768  411193 20250603 81742    7.02    7.55   17.77   8.03 7.13      89   39.52    4146   29.78   16838    0.48      1.52    7.12
  68768  411193 20250603 81801    7.98    6.80   17.73   8.04 7.13      89   39.48    4147   29.78   16840    0.53      1.54    7.12
  68768  411193 20250603 81820    9.06    5.24   17.70   8.03 7.06      88   39.47    4148   29.79   16844    0.38      1.59    7.05
  68768  411193 20250603 81843   10.03    3.22   17.54   8.03 7.01      88   39.38    4152   29.83   16867    0.39      1.69    7.00
  68768  411193 20250603 81930   11.00    2.14   17.20   7.98 6.44      80   39.03    4147   29.79   16842    0.41      1.79    6.43
  68768  411193 20250603 82022   11.99    2.21   16.69   7.88 5.07      62   38.56    4143   29.76   16830    0.46      3.04    5.06
  68768  411193 20250603 82053   13.01    1.47   16.61   7.86 4.90      60   38.49    4144   29.77   16834    0.31      3.26    4.89
  68768  411193 20250603 82140   14.03    0.75   16.50   7.83 4.24      52   38.41    4144   29.77   16836    0.32      5.81    4.23
