# VTK  20 Delta
* 03-06-2025 14:31:57
#X: 47417 - Y: 418746
#00 DONARLOCATIE: GTS-01
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  47418  418746 20250603 143211    1.04    6.84   16.92   8.22 9.51     118   38.95    4164   29.93   16926    1.28      1.73    9.50
  47418  418746 20250603 143221    1.01    0.75   16.89   8.22 9.52     118   38.94    4165   29.94   16930    1.53      1.54    9.50
  47418  418746 20250603 143237    2.04    0.83   16.91   8.22 9.50     117   38.94    4164   29.93   16924    1.60      1.68    9.48
  47418  418746 20250603 143253    2.98    5.59   16.93   8.22 9.50     117   38.96    4165   29.93   16928    1.52      1.57    9.49
  47418  418746 20250603 143313    4.03    4.88   16.92   8.22 9.49     117   38.96    4166   29.94   16933    1.52      1.66    9.48
  47418  418746 20250603 143329    5.03    4.39   16.88   8.21 9.46     117   38.94    4167   29.95   16938    1.74      1.64    9.45
  47418  418746 20250603 143408    6.03    3.82   16.79   8.18 9.02     111   38.94    4176   30.02   16979    1.56      1.86    9.00
  47418  418746 20250603 143437    7.01    3.55   16.77   8.18 8.96     110   38.97    4181   30.06   17003    1.57      2.05    8.95
  47418  418746 20250603 143501    7.98    3.68   16.64   8.16 8.80     109   39.50    4250   30.61   17323    1.56      2.50    8.78
  47418  418746 20250603 143517    8.99    3.18   16.64   8.16 8.74     108   39.52    4252   30.63   17334    1.23      2.76    8.73
  47418  418746 20250603 143544   10.03    2.01   16.63   8.15 8.66     107   39.68    4270   30.78   17419    1.13      3.36    8.64
  47418  418746 20250603 143604   10.93    0.00   16.72   8.14 8.53     106   40.50    4349   31.41   17787    1.80      3.36    8.51
