# VTK  9 Delta
* 03-06-2025 10:59:37
#X: 57884 - Y: 417101
#00 DONARLOCATIE: GTS-12
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  57884  417101 20250603 105952    1.01    0.87   17.49   8.16 8.50     106   39.36    4155   29.85   16879    0.71      1.39    8.48
  57884  417101 20250603 110002    0.99   10.47   17.50   8.16 8.51     106   39.36    4155   29.85   16880    0.68      1.41    8.49
  57884  417101 20250603 110019    2.03   18.14   17.48   8.17 8.52     106   39.33    4154   29.84   16873    0.74      1.40    8.51
  57884  417101 20250603 110040    3.04   16.91   17.49   8.17 8.56     107   39.34    4154   29.84   16875    1.00      1.43    8.55
  57884  417101 20250603 110058    4.01    7.92   17.46   8.17 8.59     107   39.32    4154   29.84   16875    1.03      1.38    8.58
  57884  417101 20250603 110116    5.04   14.70   17.44   8.18 8.62     108   39.32    4155   29.85   16880    0.80      1.48    8.61
  57884  417101 20250603 110133    6.04   13.67   17.36   8.17 8.58     107   39.24    4155   29.85   16879    0.99      1.44    8.56
  57884  417101 20250603 110202    7.01   12.97   17.37   8.15 8.32     104   39.23    4153   29.84   16872    0.88      1.34    8.31
  57884  417101 20250603 110225    7.96   12.05   17.31   8.15 8.34     104   39.21    4156   29.86   16883    0.81      1.35    8.33
  57884  417101 20250603 110253    9.01   10.69   17.24   8.13 8.11     101   39.13    4154   29.85   16877    0.76      1.42    8.10
  57884  417101 20250603 110315    9.99    9.09   17.14   8.13 8.05     100   39.06    4156   29.86   16885    0.78      1.31    8.04
  57884  417101 20250603 110342   10.97    9.08   16.99   8.12 7.88      98   38.94    4157   29.87   16891    0.74      1.30    7.87
  57884  417101 20250603 110429   12.02    8.76   16.86   8.10 7.67      95   38.84    4158   29.87   16894    0.62      1.29    7.65
  57884  417101 20250603 110502   12.96    8.41   16.73   8.09 7.47      92   38.74    4160   29.89   16906    0.54      1.40    7.46
  57884  417101 20250603 110537   14.01    6.31   16.49   8.07 7.10      87   38.54    4160   29.90   16909    0.35      1.40    7.09
  57884  417101 20250603 110614   15.01    5.38   16.20   8.04 6.61      81   38.28    4160   29.89   16908    0.22      1.63    6.60
  57884  417101 20250603 110632   15.98    4.35   16.17   8.04 6.51      79   38.27    4160   29.90   16911    0.27      1.65    6.50
  57884  417101 20250603 110652   16.99    3.40   16.16   8.04 6.45      78   38.25    4159   29.89   16907    0.21      1.67    6.43
  57884  417101 20250603 110719   18.05    2.18   16.12   8.04 6.37      77   38.22    4160   29.90   16911    0.31      1.67    6.36
  57884  417101 20250603 110739   19.03    0.99   16.09   8.03 6.34      77   38.20    4161   29.90   16914    0.19      1.82    6.32
