# VTK  17 Delta
* 03-06-2025 13:20:38
#X: 49694 - Y: 418219
#00 DONARLOCATIE: GTS-04
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  49694  418219 20250603 132048    1.00    0.80   16.90   8.19 9.08     112   38.87    4157   29.87   16891    1.01      1.63    9.07
  49694  418219 20250603 132058    1.00   14.04   16.90   8.19 9.09     112   38.86    4157   29.87   16892    0.97      1.62    9.07
  49694  418219 20250603 132115    2.09   15.85   16.87   8.19 9.08     112   38.84    4158   29.88   16895    1.26      1.58    9.07
  49694  418219 20250603 132135    3.00   14.88   16.85   8.19 9.06     112   38.84    4159   29.88   16899    1.65      1.52    9.04
  49694  418219 20250603 132159    4.03    0.75   16.87   8.19 9.05     112   38.85    4158   29.88   16897    1.82      1.59    9.03
  49694  418219 20250603 132215    4.97    6.55   16.86   8.19 9.06     112   38.85    4159   29.88   16900    1.53      1.60    9.04
  49694  418219 20250603 132325    6.03   12.04   15.89   8.10 7.96      97   38.30    4191   30.14   17053    1.14      1.57    7.95
  49694  418219 20250603 132349    7.03   11.06   15.83   8.09 7.85      95   38.29    4196   30.18   17076    1.00      1.50    7.84
  49694  418219 20250603 132410    7.99    9.98   16.11   8.09 7.73      94   38.94    4239   30.53   17276    1.08      1.72    7.71
  49694  418219 20250603 132455    9.00    8.99   15.86   8.05 7.34      89   38.82    4250   30.61   17326    0.63      1.78    7.33
  49694  418219 20250603 132513   10.02    8.08   15.94   8.05 7.37      90   38.94    4256   30.66   17355    0.51      1.78    7.36
  49694  418219 20250603 132536   10.99    7.18   16.05   8.07 7.45      91   39.11    4264   30.73   17390    0.99      1.86    7.44
  49694  418219 20250603 132619   12.09    5.82   15.59   8.03 7.07      86   38.64    4257   30.67   17363    0.61      1.94    7.06
  49694  418219 20250603 132707   13.02    5.09   15.09   8.01 6.61      79   38.09    4244   30.57   17305    0.35      1.92    6.60
  49694  418219 20250603 132746   14.04    4.27   14.64   7.98 6.15      73   37.66    4239   30.53   17285    0.32      1.75    6.14
  49694  418219 20250603 132812   14.97    3.56   14.37   7.97 5.88      69   37.36    4232   30.48   17253    0.55      1.81    5.88
  49694  418219 20250603 132845   16.07    2.86   14.07   7.95 5.68      67   37.16    4239   30.54   17288    0.29      1.80    5.67
  49694  418219 20250603 132936   17.03    2.03   12.38   7.87 4.42      50   35.53    4217   30.37   17195    0.24      1.84    4.41
  49694  418219 20250603 133025   17.96    0.75   11.37   7.81 3.50      39   34.55    4202   30.25   17130    0.22      1.87    3.49
