# VTK  4 Delta
* 03-06-2025 08:40:14
#X: 66289 - Y: 411538
#00 DONARLOCATIE: GTS-17
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  66289  411538 20250603 84024    1.01    8.06   18.06   8.20 9.32     117   39.05    4072   29.19   16495    1.85      1.69    9.30
  66289  411538 20250603 84034    1.02    8.11   18.02   8.21 9.31     117   39.04    4074   29.20   16503    1.76      1.71    9.29
  66289  411538 20250603 84052    2.03    7.21   18.07   8.20 9.29     117   39.10    4076   29.22   16513    1.81      1.73    9.27
  66289  411538 20250603 84130    3.01    6.39   18.25   8.16 8.69     110   39.70    4123   29.59   16725    1.15      1.61    8.67
  66289  411538 20250603 84200    4.04    5.37   18.25   8.14 8.26     105   40.01    4154   29.85   16872    0.70      1.38    8.24
  66289  411538 20250603 84217    5.03    4.32   18.22   8.14 8.18     104   40.03    4159   29.88   16893    0.74      1.54    8.17
  66289  411538 20250603 84236    6.03    3.39   18.20   8.13 8.07     102   40.01    4159   29.88   16895    0.59      1.62    8.06
  66289  411538 20250603 84257    7.02    2.45   18.14   8.13 7.99     101   39.98    4161   29.90   16903    0.55      1.53    7.97
  66289  411538 20250603 84318    8.01    1.53   18.06   8.12 7.84      99   39.91    4161   29.90   16905    0.58      1.55    7.82
  66289  411538 20250603 84400    8.99    0.00   17.73   8.05 7.05      88   39.59    4158   29.87   16890    0.34      1.46    7.04
