# VTK  7 Delta
* 03-06-2025 09:52:40
#X: 61120 - Y: 412970
#00 DONARLOCATIE: GTS-14
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  61120  412970 20250603 95354    0.99    9.18   17.62   8.15 8.53     107   39.50    4159   29.88   16896    0.75      1.49    8.51
  61120  412970 20250603 95404    0.98    1.06   17.60   8.15 8.53     107   39.49    4159   29.88   16897    0.84      1.57    8.52
  61120  412970 20250603 95422    2.05    7.98   17.60   8.15 8.53     107   39.49    4159   29.88   16897    0.87      1.50    8.51
  61120  412970 20250603 95440    3.00    1.24   17.61   8.15 8.52     107   39.50    4159   29.88   16897    0.97      1.49    8.51
  61120  412970 20250603 95502    4.02    0.77   17.60   8.15 8.52     107   39.49    4159   29.88   16895    0.81      1.53    8.51
  61120  412970 20250603 95551    5.04    5.18   17.57   8.15 8.53     107   39.47    4159   29.88   16898    0.87     22.77    8.51
  61120  412970 20250603 95610    6.00    4.26   17.55   8.15 8.52     107   39.45    4159   29.89   16899    0.78      1.52    8.51
  61120  412970 20250603 95634    7.01    3.17   17.57   8.15 8.52     107   39.46    4159   29.88   16898    0.98      1.57    8.51
  61120  412970 20250603 95653    8.01    2.20   17.54   8.15 8.52     107   39.44    4159   29.89   16899    0.86      1.61    8.51
  61120  412970 20250603 95711    8.97    1.30   17.57   8.15 8.52     107   39.47    4159   29.89   16899    0.81      2.68    8.51
